NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:14:57
DATA_INCLUDED	Angle
DATA_TYPES	HR_Angle

Frame	Time	HR_Angle	
1	0.00000	175.171
2	0.01000	175.137
3	0.02000	175.105
4	0.03000	175.073
5	0.04000	175.043
6	0.05000	175.015
7	0.06000	174.985
8	0.07000	174.958
9	0.08000	174.930
10	0.09000	174.920
11	0.10000	174.907
12	0.11000	174.894
13	0.12000	174.881
14	0.13000	174.866
15	0.14000	174.850
16	0.15000	174.829
17	0.16000	174.806
18	0.17000	174.782
19	0.18000	174.756
20	0.19000	174.742
21	0.20000	174.723
22	0.21000	174.705
23	0.22000	174.681
24	0.23000	174.665
25	0.24000	174.654
26	0.25000	174.650
27	0.26000	174.651
28	0.27000	174.657
29	0.28000	174.664
30	0.29000	174.668
31	0.30000	174.669
32	0.31000	174.664
33	0.32000	174.652
34	0.33000	174.642
35	0.34000	174.628
36	0.35000	174.616
37	0.36000	174.608
38	0.37000	174.591
39	0.38000	174.582
40	0.39000	174.565
41	0.40000	174.553
42	0.41000	174.551
43	0.42000	174.548
44	0.43000	174.540
45	0.44000	174.539
46	0.45000	174.542
47	0.46000	174.543
48	0.47000	174.546
49	0.48000	174.555
50	0.49000	174.555
51	0.50000	174.561
52	0.51000	174.571
53	0.52000	174.572
54	0.53000	174.570
55	0.54000	174.575
56	0.55000	174.577
57	0.56000	174.579
58	0.57000	174.591
59	0.58000	174.599
60	0.59000	174.609
61	0.60000	174.616
62	0.61000	174.629
63	0.62000	174.644
64	0.63000	174.661
65	0.64000	174.677
66	0.65000	174.692
67	0.66000	174.704
68	0.67000	174.711
69	0.68000	174.714
70	0.69000	174.714
71	0.70000	174.708
72	0.71000	174.705
73	0.72000	174.703
74	0.73000	174.700
75	0.74000	174.697
76	0.75000	174.696
77	0.76000	174.694
78	0.77000	174.697
79	0.78000	174.700
80	0.79000	174.704
81	0.80000	174.708
82	0.81000	174.710
83	0.82000	174.711
84	0.83000	174.708
85	0.84000	174.702
86	0.85000	174.694
87	0.86000	174.685
88	0.87000	174.676
89	0.88000	174.668
90	0.89000	174.661
91	0.90000	174.657
92	0.91000	174.655
93	0.92000	174.656
94	0.93000	174.658
95	0.94000	174.661
96	0.95000	174.664
97	0.96000	174.667
98	0.97000	174.667
99	0.98000	174.666
100	0.99000	174.665
101	1.00000	174.664
102	1.01000	174.664
103	1.02000	174.666
104	1.03000	174.668
105	1.04000	174.673
106	1.05000	174.677
107	1.06000	174.681
108	1.07000	174.685
109	1.08000	174.691
110	1.09000	174.701
111	1.10000	174.713
112	1.11000	174.725
113	1.12000	174.738
114	1.13000	174.749
115	1.14000	174.758
116	1.15000	174.764
117	1.16000	174.767
118	1.17000	174.771
119	1.18000	174.776
120	1.19000	174.781
121	1.20000	174.788
122	1.21000	174.798
123	1.22000	174.809
124	1.23000	174.821
125	1.24000	174.835
126	1.25000	174.848
127	1.26000	174.862
