NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:16:17
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	HR_Angular_Acceleration

Frame	Time	HR_Angular_Acceleration	
1	0.00000	0.000
2	0.01000	-92.256
3	0.02000	-57.365
4	0.03000	-27.473
5	0.04000	-2.579
6	0.05000	17.316
7	0.06000	32.212
8	0.07000	-7.039
9	0.08000	181.229
10	0.09000	-35.162
11	0.10000	-2.644
12	0.11000	5.410
13	0.12000	-20.028
14	0.13000	-12.841
15	0.14000	-46.967
16	0.15000	-18.185
17	0.16000	-18.678
18	0.17000	-15.182
19	0.18000	124.567
20	0.19000	-49.929
21	0.20000	1.404
22	0.21000	-50.173
23	0.22000	72.738
24	0.23000	53.855
25	0.24000	61.099
26	0.25000	62.191
27	0.26000	42.809
28	0.27000	10.656
29	0.28000	-26.655
30	0.29000	-27.963
31	0.30000	-65.940
32	0.31000	-74.632
33	0.32000	33.494
34	0.33000	-47.636
35	0.34000	20.071
36	0.35000	40.976
37	0.36000	-91.178
38	0.37000	83.105
39	0.38000	-86.737
40	0.39000	53.054
41	0.40000	104.635
42	0.41000	-14.308
43	0.42000	-49.721
44	0.43000	75.560
45	0.44000	36.549
46	0.45000	-23.835
47	0.46000	17.021
48	0.47000	73.679
49	0.48000	-97.430
50	0.49000	57.117
51	0.50000	42.756
52	0.51000	-96.622
53	0.52000	-16.060
54	0.53000	62.299
55	0.54000	-39.377
56	0.55000	15.487
57	0.56000	92.523
58	0.57000	-38.345
59	0.58000	20.267
60	0.59000	-30.519
61	0.60000	58.433
62	0.61000	16.800
63	0.62000	30.573
64	0.63000	-13.997
65	0.64000	-15.815
66	0.65000	-27.361
67	0.66000	-46.206
68	0.67000	-44.025
69	0.68000	-26.500
70	0.69000	-60.087
71	0.70000	27.533
72	0.71000	5.007
73	0.72000	-5.996
74	0.73000	3.321
75	0.74000	15.786
76	0.75000	-2.076
77	0.76000	42.387
78	0.77000	0.477
79	0.78000	15.822
80	0.79000	-6.463
81	0.80000	-16.551
82	0.81000	-13.925
83	0.82000	-33.858
84	0.83000	-38.283
85	0.84000	-9.004
86	0.85000	-20.406
87	0.86000	7.057
88	0.87000	1.085
