NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:15:15
DATA_INCLUDED	Angular Velocity
DATA_TYPES	HR_Angular_Velocity

Frame	Time	HR_Angular_Velocity	
1	0.00000	0.000
2	0.01000	-2.785
3	0.02000	-2.950
4	0.03000	-3.041
5	0.04000	-3.057
6	0.05000	-2.999
7	0.06000	-2.867
8	0.07000	-2.741
9	0.08000	-1.870
10	0.09000	-1.140
11	0.10000	-1.329
12	0.11000	-1.315
13	0.12000	-1.388
14	0.13000	-1.552
15	0.14000	-1.851
16	0.15000	-2.177
17	0.16000	-2.361
18	0.17000	-2.531
19	0.18000	-1.984
20	0.19000	-1.611
21	0.20000	-1.853
22	0.21000	-2.097
23	0.22000	-1.984
24	0.23000	-1.351
25	0.24000	-0.776
26	0.25000	-0.160
27	0.26000	0.365
28	0.27000	0.632
29	0.28000	0.552
30	0.29000	0.279
31	0.30000	-0.190
32	0.31000	-0.893
33	0.32000	-1.099
34	0.33000	-1.170
35	0.34000	-1.307
36	0.35000	-1.002
37	0.36000	-1.253
38	0.37000	-1.294
39	0.38000	-1.312
40	0.39000	-1.480
41	0.40000	-0.692
42	0.41000	-0.240
43	0.42000	-0.560
44	0.43000	-0.431
45	0.44000	0.130
46	0.45000	0.193
47	0.46000	0.159
48	0.47000	0.613
49	0.48000	0.494
50	0.49000	0.292
51	0.50000	0.792
52	0.51000	0.522
53	0.52000	-0.041
54	0.53000	0.190
55	0.54000	0.305
56	0.55000	0.185
57	0.56000	0.725
58	0.57000	0.996
59	0.58000	0.906
60	0.59000	0.855
61	0.60000	0.994
62	0.61000	1.370
63	0.62000	1.607
64	0.63000	1.690
65	0.64000	1.541
66	0.65000	1.325
67	0.66000	0.957
68	0.67000	0.506
69	0.68000	0.153
70	0.69000	-0.279
71	0.70000	-0.442
72	0.71000	-0.280
73	0.72000	-0.284
74	0.73000	-0.298
75	0.74000	-0.202
76	0.75000	-0.134
77	0.76000	0.068
78	0.77000	0.282
79	0.78000	0.364
80	0.79000	0.410
81	0.80000	0.295
82	0.81000	0.143
83	0.82000	-0.096
84	0.83000	-0.457
85	0.84000	-0.693
86	0.85000	-0.840
87	0.86000	-0.907
88	0.87000	-0.866
89	0.88000	-0.740
90	0.89000	-0.518
91	0.90000	-0.315
92	0.91000	-0.042
93	0.92000	0.141
94	0.93000	0.216
95	0.94000	0.316
96	0.95000	0.322
97	0.96000	0.140
98	0.97000	-0.036
99	0.98000	-0.101
100	0.99000	-0.108
101	1.00000	-0.040
102	1.01000	0.093
103	1.02000	0.205
104	1.03000	0.327
105	1.04000	0.418
106	1.05000	0.399
107	1.06000	0.414
108	1.07000	0.529
109	1.08000	0.807
110	1.09000	1.092
111	1.10000	1.173
112	1.11000	1.251
113	1.12000	1.230
114	1.13000	1.005
115	1.14000	0.731
116	1.15000	0.432
117	1.16000	0.376
118	1.17000	0.453
119	1.18000	0.493
120	1.19000	0.620
121	1.20000	0.823
122	1.21000	1.038
123	1.22000	1.174
124	1.23000	1.273
125	1.24000	1.357
126	1.25000	1.380
127	1.26000	1.448
128	1.27000	1.486
129	1.28000	1.382
130	1.29000	1.291
131	1.30000	1.130
132	1.31000	0.809
133	1.32000	0.566
134	1.33000	0.302
135	1.34000	-0.052
136	1.35000	-0.360
137	1.36000	-0.527
138	1.37000	-0.579
139	1.38000	-0.584
140	1.39000	-0.512
141	1.40000	-0.413
142	1.41000	-0.295
143	1.42000	-0.157
144	1.43000	-0.070
145	1.44000	-0.127
146	1.45000	-0.229
147	1.46000	-0.384
148	1.47000	-0.585
149	1.48000	-0.656
150	1.49000	-0.759
151	1.50000	-1.034
152	1.51000	-1.511
153	1.52000	-1.955
154	1.53000	-1.887
155	1.54000	-2.213
156	1.55000	-3.390
157	1.56000	-4.783
158	1.57000	-6.243
159	1.58000	-7.259
160	1.59000	-7.730
161	1.60000	-7.228
162	1.61000	-7.455
163	1.62000	-8.458
164	1.63000	-10.515
165	1.64000	-14.517
166	1.65000	-17.577
167	1.66000	-19.614
168	1.67000	-21.912
169	1.68000	-23.847
170	1.69000	-24.931
171	1.70000	-24.829
172	1.71000	-28.079
173	1.72000	-30.941
174	1.73000	-30.733
175	1.74000	-29.756
176	1.75000	-26.635
177	1.76000	-26.973
178	1.77000	-27.573
179	1.78000	-25.204
180	1.79000	-23.430
181	1.80000	-22.665
182	1.81000	-24.260
183	1.82000	-23.932
184	1.83000	-21.812
185	1.84000	-22.075
186	1.85000	-24.690
187	1.86000	-30.808
188	1.87000	-34.095
189	1.88000	-36.292
190	1.89000	-41.434
191	1.90000	-46.996
192	1.91000	-52.787
193	1.92000	-57.489
194	1.93000	-61.172
195	1.94000	-63.822
196	1.95000	-65.150
197	1.96000	-65.301
198	1.97000	-64.591
199	1.98000	-64.895
200	1.99000	-66.485
201	2.00000	-68.863
202	2.01000	-71.598
203	2.02000	-73.671
204	2.03000	-76.082
205	2.04000	-78.738
206	2.05000	-81.126
207	2.06000	-83.474
208	2.07000	-85.462
209	2.08000	-86.519
210	2.09000	-87.140
211	2.10000	-87.598
212	2.11000	-88.165
213	2.12000	-89.361
214	2.13000	-91.084
215	2.14000	-92.737
216	2.15000	-93.800
217	2.16000	-94.134
218	2.17000	-93.596
219	2.18000	-92.841
220	2.19000	-91.957
221	2.20000	-91.252
222	2.21000	-91.218
223	2.22000	-91.281
224	2.23000	-91.029
225	2.24000	-90.287
226	2.25000	-89.136
227	2.26000	-88.259
228	2.27000	-88.135
229	2.28000	-88.696
230	2.29000	-89.120
231	2.30000	-89.477
232	2.31000	-90.442
233	2.32000	-91.538
234	2.33000	-92.269
235	2.34000	-92.190
236	2.35000	-91.372
237	2.36000	-90.656
238	2.37000	-90.375
239	2.38000	-90.914
240	2.39000	-92.223
241	2.40000	-94.220
242	2.41000	-96.807
243	2.42000	-98.815
244	2.43000	-99.805
245	2.44000	-99.703
246	2.45000	-99.061
247	2.46000	-98.658
248	2.47000	-98.965
249	2.48000	-99.963
250	2.49000	-100.411
251	2.50000	-100.030
252	2.51000	-99.002
253	2.52000	-97.351
254	2.53000	-95.818
255	2.54000	-94.398
256	2.55000	-94.000
257	2.56000	-94.658
258	2.57000	-95.022
259	2.58000	-94.953
260	2.59000	-94.517
261	2.60000	-93.889
262	2.61000	-93.123
263	2.62000	-92.435
264	2.63000	-91.801
265	2.64000	-90.805
266	2.65000	-90.158
267	2.66000	-89.871
268	2.67000	-89.266
269	2.68000	-88.703
270	2.69000	-88.255
271	2.70000	-87.688
272	2.71000	-86.925
273	2.72000	-86.265
274	2.73000	-85.665
275	2.74000	-85.054
276	2.75000	-84.627
277	2.76000	-84.576
278	2.77000	-84.577
279	2.78000	-84.572
280	2.79000	-84.994
281	2.80000	-85.557
282	2.81000	-85.965
283	2.82000	-86.369
284	2.83000	-86.542
285	2.84000	-86.284
286	2.85000	-85.623
287	2.86000	-84.491
288	2.87000	-83.017
289	2.88000	-81.672
290	2.89000	-80.646
291	2.90000	-79.542
292	2.91000	-78.245
293	2.92000	-76.910
294	2.93000	-75.371
295	2.94000	-73.482
296	2.95000	-71.209
297	2.96000	-68.507
298	2.97000	-65.612
299	2.98000	-62.618
300	2.99000	-59.536
301	3.00000	-56.385
302	3.01000	-53.259
303	3.02000	-50.291
304	3.03000	-47.378
305	3.04000	-44.329
306	3.05000	-41.145
307	3.06000	-37.695
308	3.07000	-33.663
309	3.08000	-28.897
310	3.09000	-23.262
311	3.10000	-16.869
312	3.11000	-10.208
313	3.12000	-3.428
314	3.13000	3.070
315	3.14000	8.551
316	3.15000	12.451
317	3.16000	14.874
318	3.17000	16.509
319	3.18000	17.827
320	3.19000	19.434
321	3.20000	21.451
322	3.21000	23.595
323	3.22000	25.879
324	3.23000	27.784
325	3.24000	28.965
326	3.25000	29.483
327	3.26000	29.731
328	3.27000	30.593
329	3.28000	31.632
330	3.29000	32.457
331	3.30000	33.160
332	3.31000	33.573
333	3.32000	33.783
334	3.33000	33.695
335	3.34000	33.608
336	3.35000	33.773
337	3.36000	34.252
338	3.37000	35.191
339	3.38000	36.010
340	3.39000	36.474
341	3.40000	36.522
342	3.41000	36.023
343	3.42000	35.043
344	3.43000	33.529
345	3.44000	31.649
346	3.45000	29.488
347	3.46000	27.081
348	3.47000	24.799
349	3.48000	22.879
350	3.49000	21.111
351	3.50000	19.369
352	3.51000	17.910
353	3.52000	16.662
354	3.53000	15.547
355	3.54000	14.646
356	3.55000	13.945
357	3.56000	13.436
358	3.57000	12.940
359	3.58000	12.285
360	3.59000	11.330
361	3.60000	10.065
362	3.61000	8.595
363	3.62000	6.958
364	3.63000	5.370
365	3.64000	3.731
366	3.65000	2.303
367	3.66000	1.143
368	3.67000	-0.220
369	3.68000	-1.571
370	3.69000	-3.004
371	3.70000	-4.557
372	3.71000	-6.202
373	3.72000	-7.955
374	3.73000	-9.708
375	3.74000	-11.560
376	3.75000	-13.323
377	3.76000	-15.214
378	3.77000	-17.273
379	3.78000	-19.145
380	3.79000	-20.855
381	3.80000	-22.343
382	3.81000	-23.801
383	3.82000	-25.115
384	3.83000	-26.296
385	3.84000	-27.470
386	3.85000	-28.781
387	3.86000	-30.440
388	3.87000	-32.000
389	3.88000	-33.321
390	3.89000	-34.534
391	3.90000	-35.556
