NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:16:51
DATA_INCLUDED	Angle
DATA_TYPES	KR_Angle

Frame	Time	KR_Angle	
1	0.00000	166.999
2	0.01000	167.001
3	0.02000	167.003
4	0.03000	167.007
5	0.04000	167.011
6	0.05000	167.016
7	0.06000	167.022
8	0.07000	167.030
9	0.08000	167.038
10	0.09000	167.045
11	0.10000	167.053
12	0.11000	167.063
13	0.12000	167.073
14	0.13000	167.081
15	0.14000	167.089
16	0.15000	167.093
17	0.16000	167.096
18	0.17000	167.098
19	0.18000	167.097
20	0.19000	167.095
21	0.20000	167.091
22	0.21000	167.085
23	0.22000	167.079
24	0.23000	167.072
25	0.24000	167.066
26	0.25000	167.063
27	0.26000	167.062
28	0.27000	167.066
29	0.28000	167.069
30	0.29000	167.072
31	0.30000	167.075
32	0.31000	167.077
33	0.32000	167.074
34	0.33000	167.070
35	0.34000	167.064
36	0.35000	167.056
37	0.36000	167.049
38	0.37000	167.045
39	0.38000	167.042
40	0.39000	167.040
41	0.40000	167.041
42	0.41000	167.043
43	0.42000	167.044
44	0.43000	167.047
45	0.44000	167.049
46	0.45000	167.051
47	0.46000	167.054
48	0.47000	167.059
49	0.48000	167.064
50	0.49000	167.070
51	0.50000	167.075
52	0.51000	167.080
53	0.52000	167.080
54	0.53000	167.082
55	0.54000	167.082
56	0.55000	167.080
57	0.56000	167.080
58	0.57000	167.080
59	0.58000	167.081
60	0.59000	167.082
61	0.60000	167.080
62	0.61000	167.084
63	0.62000	167.089
64	0.63000	167.098
65	0.64000	167.107
66	0.65000	167.113
67	0.66000	167.119
68	0.67000	167.120
69	0.68000	167.115
70	0.69000	167.108
71	0.70000	167.094
72	0.71000	167.084
73	0.72000	167.077
74	0.73000	167.072
75	0.74000	167.069
76	0.75000	167.070
77	0.76000	167.072
78	0.77000	167.080
79	0.78000	167.086
80	0.79000	167.094
81	0.80000	167.103
82	0.81000	167.109
83	0.82000	167.114
84	0.83000	167.115
85	0.84000	167.111
86	0.85000	167.106
87	0.86000	167.097
88	0.87000	167.088
89	0.88000	167.079
90	0.89000	167.073
91	0.90000	167.069
92	0.91000	167.066
93	0.92000	167.068
94	0.93000	167.072
95	0.94000	167.078
96	0.95000	167.084
97	0.96000	167.090
98	0.97000	167.092
99	0.98000	167.093
100	0.99000	167.090
101	1.00000	167.085
102	1.01000	167.078
103	1.02000	167.072
104	1.03000	167.066
105	1.04000	167.060
106	1.05000	167.055
107	1.06000	167.052
108	1.07000	167.052
109	1.08000	167.056
110	1.09000	167.063
111	1.10000	167.075
112	1.11000	167.084
113	1.12000	167.096
114	1.13000	167.104
115	1.14000	167.106
116	1.15000	167.106
117	1.16000	167.101
118	1.17000	167.094
119	1.18000	167.087
120	1.19000	167.079
121	1.20000	167.073
122	1.21000	167.070
123	1.22000	167.070
124	1.23000	167.072
125	1.24000	167.075
126	1.25000	167.081
127	1.26000	167.084
128	1.27000	167.089
129	1.28000	167.095
130	1.29000	167.101
131	1.30000	167.107
132	1.31000	167.112
133	1.32000	167.115
134	1.33000	167.117
135	1.34000	167.116
136	1.35000	167.111
137	1.36000	167.103
138	1.37000	167.094
139	1.38000	167.084
