NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:20:30
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	KR_Angular_Acceleration_pre

Frame	Time	KR_Angular_Acceleration_pre	
1	0.00000	0.000
2	0.01000	7.007
3	0.02000	7.015
4	0.03000	7.023
5	0.04000	7.029
6	0.05000	13.800
7	0.06000	13.025
8	0.07000	3.450
9	0.08000	-10.131
10	0.09000	17.009
11	0.10000	6.387
12	0.11000	9.135
13	0.12000	-14.823
14	0.13000	-9.689
15	0.14000	-37.087
16	0.15000	-9.320
17	0.16000	-13.872
18	0.17000	-26.508
19	0.18000	-9.101
20	0.19000	-27.144
21	0.20000	-8.442
22	0.21000	-8.010
23	0.22000	-7.366
24	0.23000	13.849
25	0.24000	18.146
26	0.25000	31.246
27	0.26000	44.326
28	0.27000	-3.450
29	0.28000	-2.679
30	0.29000	-0.710
31	0.30000	-19.852
32	0.31000	-35.745
33	0.32000	-16.746
34	0.33000	-19.601
35	0.34000	-19.567
36	0.35000	8.189
37	0.36000	33.463
38	0.37000	12.849
39	0.38000	4.858
40	0.39000	28.760
41	0.40000	16.450
42	0.41000	-16.050
43	0.42000	22.092
44	0.43000	-9.379
45	0.44000	0.723
46	0.45000	9.882
47	0.46000	13.254
48	0.47000	11.034
49	0.48000	2.987
50	0.49000	-10.636
51	0.50000	0.839
52	0.51000	-46.381
53	0.52000	18.213
54	0.53000	-20.304
55	0.54000	-21.472
56	0.55000	21.207
57	0.56000	2.044
58	0.57000	1.058
59	0.58000	9.437
60	0.59000	-30.982
61	0.60000	56.630
62	0.61000	8.140
63	0.62000	49.380
64	0.63000	-12.184
65	0.64000	-17.870
66	0.65000	-8.447
67	0.66000	-48.237
68	0.67000	-53.536
69	0.68000	-34.247
70	0.69000	-54.595
71	0.70000	35.535
72	0.71000	23.986
73	0.72000	22.086
74	0.73000	20.207
75	0.74000	39.313
76	0.75000	18.959
77	0.76000	45.457
78	0.77000	-7.640
79	0.78000	19.257
80	0.79000	-1.525
81	0.80000	-15.779
82	0.81000	-14.832
83	0.82000	-41.603
84	0.83000	-54.056
85	0.84000	-9.273
86	0.85000	-31.229
87	0.86000	-8.064
88	0.87000	5.379
89	0.88000	20.427
90	0.89000	27.166
91	0.90000	14.788
92	0.91000	43.759
93	0.92000	18.962
94	0.93000	19.309
95	0.94000	8.081
96	0.95000	-9.451
97	0.96000	-35.243
98	0.97000	-5.664
99	0.98000	-52.428
100	0.99000	-9.285
101	1.00000	-19.352
102	1.01000	0.067
103	1.02000	11.093
104	1.03000	-7.362
105	1.04000	10.186
106	1.05000	22.529
107	1.06000	27.923
108	1.07000	38.886
109	1.08000	39.209
110	1.09000	40.440
111	1.10000	-21.724
112	1.11000	19.315
113	1.12000	-32.782
114	1.13000	-59.060
115	1.14000	-20.532
116	1.15000	-60.148
117	1.16000	-9.372
118	1.17000	-4.567
119	1.18000	-1.511
120	1.19000	11.518
121	1.20000	30.844
122	1.21000	30.780
123	1.22000	17.259
124	1.23000	18.180
125	1.24000	17.247
126	1.25000	-14.344
127	1.26000	10.688
128	1.27000	12.544
129	1.28000	-4.870
130	1.29000	-0.437
131	1.30000	1.523
132	1.31000	-35.115
133	1.32000	6.119
134	1.33000	-42.899
135	1.34000	-33.320
136	1.35000	-31.699
137	1.36000	-11.378
138	1.37000	-10.603
139	1.38000	11.577
140	1.39000	13.525
141	1.40000	19.660
142	1.41000	28.232
143	1.42000	33.255
144	1.43000	-7.308
145	1.44000	-21.069
146	1.45000	0.949
147	1.46000	-39.468
148	1.47000	-42.811
149	1.48000	-27.255
150	1.49000	-67.986
151	1.50000	-92.575
152	1.51000	-115.252
153	1.52000	-46.812
154	1.53000	14.948
155	1.54000	-53.889
156	1.55000	-22.413
157	1.56000	-38.119
158	1.57000	6.991
159	1.58000	57.991
160	1.59000	51.533
161	1.60000	167.584
162	1.61000	-23.356
163	1.62000	50.358
164	1.63000	-159.371
165	1.64000	-167.894
166	1.65000	-29.467
167	1.66000	-30.873
168	1.67000	-80.394
169	1.68000	6.679
170	1.69000	68.410
171	1.70000	341.888
172	1.71000	-1132.474
173	1.72000	683.639
174	1.73000	408.330
175	1.74000	868.265
176	1.75000	376.231
177	1.76000	-1101.062
178	1.77000	323.078
179	1.78000	274.600
180	1.79000	44.312
181	1.80000	-131.774
182	1.81000	-890.482
183	1.82000	948.876
184	1.83000	128.343
185	1.84000	117.363
186	1.85000	-720.519
187	1.86000	-1301.680
188	1.87000	818.203
189	1.88000	-720.639
190	1.89000	-471.198
191	1.90000	-903.932
192	1.91000	-705.171
193	1.92000	-342.098
194	1.93000	-184.355
195	1.94000	165.272
196	1.95000	399.456
197	1.96000	596.260
198	1.97000	751.307
199	1.98000	-106.578
200	1.99000	127.716
201	2.00000	-366.210
202	2.01000	-155.585
203	2.02000	-37.067
204	2.03000	-177.096
205	2.04000	-48.401
206	2.05000	-97.783
207	2.06000	-98.781
208	2.07000	-116.968
209	2.08000	-4.890
210	2.09000	-3.252
211	2.10000	-82.391
212	2.11000	-293.891
213	2.12000	-343.066
214	2.13000	-454.112
215	2.14000	-284.905
216	2.15000	-178.224
217	2.16000	-74.910
218	2.17000	105.391
219	2.18000	125.833
220	2.19000	3.377
221	2.20000	-164.235
222	2.21000	-201.057
223	2.22000	-78.939
224	2.23000	9.132
225	2.24000	110.988
226	2.25000	11.202
227	2.26000	-171.337
228	2.27000	-284.404
229	2.28000	-364.801
230	2.29000	-322.891
231	2.30000	-412.862
232	2.31000	-464.333
233	2.32000	-485.322
234	2.33000	-367.805
235	2.34000	-134.861
236	2.35000	-2.225
237	2.36000	-24.605
238	2.37000	-52.539
239	2.38000	-224.676
240	2.39000	-459.020
241	2.40000	-643.841
242	2.41000	-565.749
243	2.42000	-377.542
244	2.43000	-105.828
245	2.44000	159.416
246	2.45000	135.932
247	2.46000	-66.770
248	2.47000	-284.873
249	2.48000	-354.397
250	2.49000	-262.590
251	2.50000	-42.411
252	2.51000	170.951
253	2.52000	275.504
254	2.53000	229.059
255	2.54000	246.599
256	2.55000	-38.524
257	2.56000	-48.621
258	2.57000	54.013
259	2.58000	191.715
260	2.59000	190.504
261	2.60000	136.821
262	2.61000	53.368
263	2.62000	55.512
264	2.63000	133.355
265	2.64000	301.308
266	2.65000	139.340
267	2.66000	190.156
268	2.67000	176.534
269	2.68000	82.096
270	2.69000	-3.649
271	2.70000	9.660
272	2.71000	29.517
273	2.72000	12.862
274	2.73000	54.859
275	2.74000	113.418
276	2.75000	59.292
277	2.76000	61.108
278	2.77000	157.914
279	2.78000	169.675
280	2.79000	157.187
281	2.80000	194.986
282	2.81000	226.685
283	2.82000	165.248
284	2.83000	182.011
285	2.84000	182.120
286	2.85000	153.060
287	2.86000	168.714
288	2.87000	188.889
289	2.88000	155.634
290	2.89000	109.495
291	2.90000	174.023
292	2.91000	172.966
293	2.92000	145.090
294	2.93000	168.307
295	2.94000	119.398
296	2.95000	101.801
297	2.96000	93.874
298	2.97000	78.889
299	2.98000	97.244
300	2.99000	96.254
301	3.00000	205.684
302	3.01000	167.481
303	3.02000	118.868
304	3.03000	117.071
305	3.04000	105.652
306	3.05000	153.826
307	3.06000	219.208
308	3.07000	284.389
309	3.08000	406.264
310	3.09000	521.280
311	3.10000	664.069
312	3.11000	722.195
313	3.12000	763.260
314	3.13000	798.732
315	3.14000	747.070
316	3.15000	629.996
317	3.16000	395.956
318	3.17000	124.024
319	3.18000	-105.106
320	3.19000	-261.608
321	3.20000	-358.539
322	3.21000	-407.274
323	3.22000	-356.579
324	3.23000	-268.447
325	3.24000	-147.720
326	3.25000	-116.428
327	3.26000	-160.156
328	3.27000	-288.629
329	3.28000	-400.361
330	3.29000	-507.060
331	3.30000	-546.099
332	3.31000	-520.885
333	3.32000	-363.972
334	3.33000	-152.761
335	3.34000	106.143
336	3.35000	256.797
337	3.36000	343.828
338	3.37000	358.682
339	3.38000	365.131
340	3.39000	278.488
341	3.40000	213.502
342	3.41000	176.679
343	3.42000	132.005
344	3.43000	99.855
345	3.44000	72.324
346	3.45000	10.719
347	3.46000	-49.647
348	3.47000	-26.852
349	3.48000	-42.319
350	3.49000	-50.408
351	3.50000	-81.006
352	3.51000	-35.673
353	3.52000	-27.325
354	3.53000	16.941
355	3.54000	43.697
356	3.55000	98.460
357	3.56000	109.418
358	3.57000	129.411
359	3.58000	111.274
360	3.59000	95.032
361	3.60000	56.336
362	3.61000	47.776
363	3.62000	27.682
364	3.63000	22.341
365	3.64000	-37.299
366	3.65000	37.971
367	3.66000	-2.705
368	3.67000	-12.931
369	3.68000	-2.625
370	3.69000	-15.348
371	3.70000	6.780
372	3.71000	0.926
373	3.72000	5.094
374	3.73000	-32.275
375	3.74000	-56.504
376	3.75000	-37.626
377	3.76000	-83.938
378	3.77000	-79.377
379	3.78000	-68.601
380	3.79000	-57.805
381	3.80000	-4.278
382	3.81000	-4.795
383	3.82000	16.252
384	3.83000	4.745
385	3.84000	33.129
386	3.85000	23.251
387	3.86000	18.546
388	3.87000	31.820
389	3.88000	-35.352
390	3.89000	-17.077
391	3.90000	-38.834
392	3.91000	-59.019
393	3.92000	-34.807
394	3.93000	-4.403
395	3.94000	59.730
396	3.95000	121.252
397	3.96000	198.411
398	3.97000	239.453
399	3.98000	174.385
400	3.99000	212.084
401	4.00000	196.470
402	4.01000	193.323
403	4.02000	170.173
404	4.03000	78.646
405	4.04000	-11.003
406	4.05000	-88.012
407	4.06000	-63.299
408	4.07000	-102.732
409	4.08000	-101.758
410	4.09000	-55.948
411	4.10000	67.156
412	4.11000	122.122
413	4.12000	190.706
414	4.13000	163.580
415	4.14000	153.694
416	4.15000	182.559
417	4.16000	269.951
418	4.17000	264.742
419	4.18000	319.928
420	4.19000	243.286
421	4.20000	347.980
422	4.21000	297.056
423	4.22000	277.569
424	4.23000	231.582
425	4.24000	210.282
426	4.25000	245.439
427	4.26000	229.451
428	4.27000	256.741
429	4.28000	294.251
430	4.29000	229.929
431	4.30000	306.435
432	4.31000	308.228
433	4.32000	403.590
434	4.33000	293.120
435	4.34000	280.722
