NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:20:54
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	KR_Angular_Acceleration_pre_post

Frame	Time	KR_Angular_Acceleration_pre_post	
1	0.00000	0.000
2	0.01000	8.193
3	0.02000	7.801
4	0.03000	7.484
5	0.04000	7.239
6	0.05000	7.069
7	0.06000	6.972
8	0.07000	8.608
9	0.08000	7.439
10	0.09000	7.244
11	0.10000	0.910
12	0.11000	-3.474
13	0.12000	-5.901
14	0.13000	-11.557
15	0.14000	-17.020
16	0.15000	-20.392
17	0.16000	-21.682
18	0.17000	-19.041
19	0.18000	-19.041
20	0.19000	-15.112
21	0.20000	-14.332
22	0.21000	-8.424
23	0.22000	4.850
24	0.23000	12.748
25	0.24000	19.468
26	0.25000	21.548
27	0.26000	21.574
28	0.27000	13.739
29	0.28000	2.616
30	0.29000	-7.671
31	0.30000	-19.535
32	0.31000	-26.559
33	0.32000	-20.027
34	0.33000	-14.141
35	0.34000	-8.622
36	0.35000	2.253
37	0.36000	13.975
38	0.37000	14.596
39	0.38000	18.862
40	0.39000	16.878
41	0.40000	9.793
42	0.41000	4.463
43	0.42000	4.705
44	0.43000	4.753
45	0.44000	4.306
46	0.45000	5.615
47	0.46000	11.109
48	0.47000	0.956
49	0.48000	2.109
50	0.49000	-2.393
51	0.50000	-11.312
52	0.51000	-13.372
53	0.52000	-12.422
54	0.53000	-9.847
55	0.54000	-1.960
56	0.55000	-6.110
57	0.56000	2.367
58	0.57000	-1.426
59	0.58000	11.857
60	0.59000	16.753
61	0.60000	14.192
62	0.61000	18.360
63	0.62000	15.232
64	0.63000	4.763
65	0.64000	-4.568
66	0.65000	-32.423
67	0.66000	-38.290
68	0.67000	-41.335
69	0.68000	-29.311
70	0.69000	-20.062
71	0.70000	-5.065
72	0.71000	10.755
73	0.72000	26.987
74	0.73000	31.381
75	0.74000	34.224
76	0.75000	25.606
77	0.76000	22.347
78	0.77000	18.055
