NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:18:44
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KR_Angular_Velocity_pre

Frame	Time	KR_Angular_Velocity_pre	
1	0.00000	0.000
2	0.01000	0.245
3	0.02000	0.315
4	0.03000	0.385
5	0.04000	0.455
6	0.05000	0.559
7	0.06000	0.693
8	0.07000	0.776
9	0.08000	0.742
10	0.09000	0.777
11	0.10000	0.894
12	0.11000	0.971
13	0.12000	0.943
14	0.13000	0.820
15	0.14000	0.587
16	0.15000	0.354
17	0.16000	0.239
18	0.17000	0.037
19	0.18000	-0.141
20	0.19000	-0.323
21	0.20000	-0.501
22	0.21000	-0.583
23	0.22000	-0.660
24	0.23000	-0.627
25	0.24000	-0.467
26	0.25000	-0.220
27	0.26000	0.157
28	0.27000	0.362
29	0.28000	0.331
30	0.29000	0.314
31	0.30000	0.211
32	0.31000	-0.067
33	0.32000	-0.329
34	0.33000	-0.511
35	0.34000	-0.707
36	0.35000	-0.763
37	0.36000	-0.555
38	0.37000	-0.324
39	0.38000	-0.235
40	0.39000	-0.067
41	0.40000	0.159
42	0.41000	0.161
43	0.42000	0.191
44	0.43000	0.255
45	0.44000	0.212
46	0.45000	0.265
47	0.46000	0.380
48	0.47000	0.502
49	0.48000	0.572
50	0.49000	0.534
51	0.50000	0.485
52	0.51000	0.257
53	0.52000	0.116
54	0.53000	0.106
55	0.54000	-0.103
56	0.55000	-0.105
57	0.56000	0.012
58	0.57000	0.027
59	0.58000	0.080
60	0.59000	-0.028
61	0.60000	0.100
62	0.61000	0.424
63	0.62000	0.712
64	0.63000	0.898
65	0.64000	0.747
66	0.65000	0.616
67	0.66000	0.332
68	0.67000	-0.177
69	0.68000	-0.616
70	0.69000	-1.060
71	0.70000	-1.155
72	0.71000	-0.857
73	0.72000	-0.627
74	0.73000	-0.416
75	0.74000	-0.118
76	0.75000	0.173
77	0.76000	0.495
78	0.77000	0.685
79	0.78000	0.743
80	0.79000	0.831
81	0.80000	0.745
82	0.81000	0.592
83	0.82000	0.310
84	0.83000	-0.169
85	0.84000	-0.485
86	0.85000	-0.688
87	0.86000	-0.884
88	0.87000	-0.898
89	0.88000	-0.769
90	0.89000	-0.531
91	0.90000	-0.321
92	0.91000	-0.028
93	0.92000	0.285
94	0.93000	0.477
95	0.94000	0.614
96	0.95000	0.607
97	0.96000	0.383
98	0.97000	0.179
99	0.98000	-0.112
100	0.99000	-0.420
101	1.00000	-0.563
102	1.01000	-0.660
103	1.02000	-0.604
104	1.03000	-0.585
105	1.04000	-0.571
106	1.05000	-0.408
107	1.06000	-0.155
108	1.07000	0.179
109	1.08000	0.569
110	1.09000	0.967
111	1.10000	1.061
112	1.11000	1.049
113	1.12000	0.981
114	1.13000	0.522
115	1.14000	0.124
116	1.15000	-0.279
117	1.16000	-0.627
118	1.17000	-0.696
119	1.18000	-0.727
120	1.19000	-0.677
121	1.20000	-0.465
122	1.21000	-0.157
