NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:19:18
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KR_Angular_Velocity_pre_post

Frame	Time	KR_Angular_Velocity_pre_post	
1	0.00000	0.000
2	0.01000	0.228
3	0.02000	0.319
4	0.03000	0.406
5	0.04000	0.488
6	0.05000	0.566
7	0.06000	0.640
8	0.07000	0.718
9	0.08000	0.799
10	0.09000	0.872
11	0.10000	0.913
12	0.11000	0.900
13	0.12000	0.853
14	0.13000	0.766
15	0.14000	0.623
16	0.15000	0.436
17	0.16000	0.225
18	0.17000	0.022
19	0.18000	-0.169
20	0.19000	-0.339
21	0.20000	-0.487
22	0.21000	-0.600
23	0.22000	-0.618
24	0.23000	-0.530
25	0.24000	-0.369
26	0.25000	-0.164
27	0.26000	0.051
28	0.27000	0.228
29	0.28000	0.310
30	0.29000	0.285
31	0.30000	0.149
32	0.31000	-0.082
33	0.32000	-0.315
34	0.33000	-0.486
35	0.34000	-0.600
36	0.35000	-0.631
37	0.36000	-0.550
38	0.37000	-0.407
39	0.38000	-0.240
40	0.39000	-0.061
41	0.40000	0.072
42	0.41000	0.143
43	0.42000	0.189
44	0.43000	0.236
45	0.44000	0.282
46	0.45000	0.331
47	0.46000	0.415
48	0.47000	0.475
49	0.48000	0.491
50	0.49000	0.489
51	0.50000	0.421
52	0.51000	0.297
53	0.52000	0.168
54	0.53000	0.057
55	0.54000	-0.002
56	0.55000	-0.043
57	0.56000	-0.061
58	0.57000	-0.057
59	0.58000	-0.004
60	0.59000	0.139
61	0.60000	0.293
62	0.61000	0.456
63	0.62000	0.624
64	0.63000	0.724
65	0.64000	0.725
66	0.65000	0.540
67	0.66000	0.187
68	0.67000	-0.212
69	0.68000	-0.565
70	0.69000	-0.812
71	0.70000	-0.937
72	0.71000	-0.909
73	0.72000	-0.720
74	0.73000	-0.428
75	0.74000	-0.100
76	0.75000	0.199
77	0.76000	0.439
78	0.77000	0.641
79	0.78000	0.782
80	0.79000	0.802
81	0.80000	0.699
82	0.81000	0.495
83	0.82000	0.218
84	0.83000	-0.098
85	0.84000	-0.418
86	0.85000	-0.664
87	0.86000	-0.815
88	0.87000	-0.843
89	0.88000	-0.737
90	0.89000	-0.549
91	0.90000	-0.296
92	0.91000	-0.002
93	0.92000	0.254
94	0.93000	0.441
95	0.94000	0.533
96	0.95000	0.509
97	0.96000	0.372
98	0.97000	0.148
99	0.98000	-0.096
100	0.99000	-0.323
101	1.00000	-0.506
102	1.01000	-0.621
103	1.02000	-0.672
104	1.03000	-0.641
105	1.04000	-0.530
106	1.05000	-0.331
107	1.06000	-0.061
108	1.07000	0.236
109	1.08000	0.568
110	1.09000	0.842
111	1.10000	0.993
112	1.11000	0.992
113	1.12000	0.815
114	1.13000	0.512
115	1.14000	0.149
116	1.15000	-0.200
117	1.16000	-0.498
118	1.17000	-0.680
119	1.18000	-0.701
120	1.19000	-0.614
121	1.20000	-0.426
122	1.21000	-0.193
123	1.22000	0.016
124	1.23000	0.209
125	1.24000	0.366
126	1.25000	0.464
127	1.26000	0.529
128	1.27000	0.566
129	1.28000	0.575
130	1.29000	0.567
131	1.30000	0.523
132	1.31000	0.407
133	1.32000	0.208
134	1.33000	-0.041
135	1.34000	-0.314
136	1.35000	-0.575
137	1.36000	-0.777
138	1.37000	-0.908
139	1.38000	-0.918
140	1.39000	-0.788
141	1.40000	-0.602
142	1.41000	-0.403
143	1.42000	-0.220
144	1.43000	-0.118
145	1.44000	-0.116
146	1.45000	-0.203
147	1.46000	-0.401
148	1.47000	-0.760
149	1.48000	-1.301
150	1.49000	-1.939
151	1.50000	-2.615
152	1.51000	-3.279
153	1.52000	-3.897
154	1.53000	-4.479
155	1.54000	-4.943
156	1.55000	-5.255
157	1.56000	-5.330
158	1.57000	-5.170
159	1.58000	-4.806
160	1.59000	-4.206
161	1.60000	-3.654
162	1.61000	-3.371
163	1.62000	-3.380
164	1.63000	-3.745
165	1.64000	-4.456
166	1.65000	-5.483
167	1.66000	-5.870
168	1.67000	-6.090
169	1.68000	-6.921
170	1.69000	-7.805
171	1.70000	-8.308
172	1.71000	-7.163
173	1.72000	-5.010
174	1.73000	-3.157
175	1.74000	-1.353
176	1.75000	0.622
177	1.76000	3.262
178	1.77000	4.368
179	1.78000	3.230
180	1.79000	1.875
181	1.80000	1.458
182	1.81000	2.932
183	1.82000	3.407
184	1.83000	2.125
185	1.84000	0.859
186	1.85000	-0.567
187	1.86000	-2.545
188	1.87000	-6.594
189	1.88000	-12.315
190	1.89000	-18.272
191	1.90000	-23.921
192	1.91000	-28.864
193	1.92000	-33.732
194	1.93000	-36.651
195	1.94000	-36.394
196	1.95000	-33.888
197	1.96000	-29.980
198	1.97000	-26.227
199	1.98000	-23.298
200	1.99000	-21.663
201	2.00000	-21.551
202	2.01000	-22.664
203	2.02000	-24.449
204	2.03000	-26.081
205	2.04000	-27.402
206	2.05000	-28.394
207	2.06000	-28.998
208	2.07000	-29.531
209	2.08000	-30.037
210	2.09000	-30.847
211	2.10000	-32.284
212	2.11000	-34.353
213	2.12000	-37.029
214	2.13000	-40.096
215	2.14000	-43.025
216	2.15000	-45.224
217	2.16000	-46.433
218	2.17000	-46.890
219	2.18000	-46.995
