NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:13:34
DATA_INCLUDED	Angular Velocity
DATA_TYPES	LL_Angular_Velocity

Frame	Time	LL_Angular_Velocity	
1	0.00000	0.000
2	0.01000	0.698
3	0.02000	0.690
4	0.03000	0.652
5	0.04000	0.584
6	0.05000	0.486
7	0.06000	0.358
8	0.07000	0.117
9	0.08000	-0.089
10	0.09000	-0.215
11	0.10000	-0.396
12	0.11000	-0.590
13	0.12000	-0.772
14	0.13000	-0.892
15	0.14000	-0.724
16	0.15000	-0.307
17	0.16000	0.211
18	0.17000	0.716
19	0.18000	1.246
20	0.19000	1.696
21	0.20000	1.972
22	0.21000	2.141
23	0.22000	2.145
24	0.23000	1.978
25	0.24000	1.818
26	0.25000	1.621
27	0.26000	1.358
28	0.27000	1.116
29	0.28000	0.896
30	0.29000	0.808
31	0.30000	0.961
32	0.31000	1.232
33	0.32000	1.334
34	0.33000	1.322
35	0.34000	1.331
36	0.35000	1.223
37	0.36000	1.000
38	0.37000	0.811
39	0.38000	0.638
40	0.39000	0.464
41	0.40000	0.529
42	0.41000	0.721
43	0.42000	0.739
44	0.43000	0.697
45	0.44000	0.701
46	0.45000	0.660
47	0.46000	0.621
48	0.47000	0.529
49	0.48000	0.338
50	0.49000	0.162
51	0.50000	0.019
52	0.51000	-0.084
53	0.52000	-0.265
54	0.53000	-0.440
55	0.54000	-0.325
56	0.55000	-0.155
57	0.56000	-0.044
58	0.57000	0.152
59	0.58000	0.285
60	0.59000	0.375
61	0.60000	0.306
62	0.61000	0.220
63	0.62000	0.191
64	0.63000	0.091
65	0.64000	0.101
66	0.65000	-0.047
67	0.66000	-0.263
68	0.67000	-0.243
69	0.68000	-0.332
70	0.69000	-0.499
71	0.70000	-0.692
72	0.71000	-0.750
73	0.72000	-0.523
74	0.73000	-0.269
75	0.74000	-0.032
76	0.75000	0.231
77	0.76000	0.513
78	0.77000	0.717
79	0.78000	0.713
80	0.79000	0.489
81	0.80000	0.154
82	0.81000	-0.087
83	0.82000	-0.204
84	0.83000	-0.329
85	0.84000	-0.467
86	0.85000	-0.507
87	0.86000	-0.465
88	0.87000	-0.393
89	0.88000	-0.397
90	0.89000	-0.348
91	0.90000	-0.159
92	0.91000	0.017
93	0.92000	0.114
94	0.93000	0.072
95	0.94000	-0.008
96	0.95000	-0.016
97	0.96000	-0.018
98	0.97000	-0.047
99	0.98000	-0.105
100	0.99000	-0.017
101	1.00000	0.187
102	1.01000	0.278
103	1.02000	0.277
104	1.03000	0.155
105	1.04000	0.049
106	1.05000	0.011
107	1.06000	-0.086
108	1.07000	-0.133
109	1.08000	-0.085
110	1.09000	-0.002
111	1.10000	0.169
112	1.11000	0.297
113	1.12000	0.318
114	1.13000	0.285
115	1.14000	0.242
116	1.15000	0.219
117	1.16000	0.131
118	1.17000	-0.054
119	1.18000	-0.290
120	1.19000	-0.459
121	1.20000	-0.519
122	1.21000	-0.627
123	1.22000	-0.650
124	1.23000	-0.460
125	1.24000	-0.175
126	1.25000	0.145
127	1.26000	0.341
128	1.27000	0.399
129	1.28000	0.386
