NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	30
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:23:04
DATA_INCLUDED	Position
DATA_TYPES	SL_pos_X	SL_pos_Y	SL_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	LR_pos_X	LR_pos_Y	LR_pos_Z	KR_pos_X	KR_pos_Y	KR_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z

Frame	Time	SL_pos_X	SL_pos_Y	SL_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	LR_pos_X	LR_pos_Y	LR_pos_Z	KR_pos_X	KR_pos_Y	KR_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	
1	0.00000	288.009	251.963	1607.250	497.110	217.437	38.710	323.274	183.271	588.857	238.371	204.161	105.753	253.174	-180.690	111.216	316.761	-146.563	592.286	510.812	-199.603	38.517	312.203	-203.618	1615.039	308.861	-192.247	1042.681	0.000	0.000	0.000
2	0.01000	287.892	251.964	1607.221	497.090	217.447	38.732	323.143	183.215	588.832	238.346	204.146	105.726	253.186	-180.673	111.192	316.620	-146.582	592.310	510.795	-199.606	38.562	312.026	-203.601	1615.084	308.645	-192.304	1042.648	0.000	0.000	0.000
3	0.02000	287.775	251.986	1607.193	497.073	217.433	38.761	322.997	183.138	588.817	238.334	204.123	105.723	253.185	-180.661	111.195	316.496	-146.597	592.299	510.782	-199.618	38.567	311.887	-203.584	1615.101	308.392	-192.392	1042.661	0.000	0.000	0.000
4	0.03000	287.647	252.003	1607.164	497.068	217.426	38.788	322.903	183.101	588.799	238.256	204.134	105.779	253.162	-180.660	111.173	316.364	-146.654	592.056	511.119	-199.924	39.613	311.732	-203.555	1615.137	307.946	-192.445	1042.343	0.000	0.000	0.000
5	0.04000	287.434	251.940	1607.214	496.974	217.357	38.793	322.685	182.896	588.729	238.214	204.102	105.755	253.135	-180.759	111.281	315.956	-146.877	592.233	511.054	-199.836	39.692	311.692	-203.563	1615.093	307.603	-192.797	1042.371	0.000	0.000	0.000
6	0.05000	287.280	251.975	1607.148	496.999	217.340	38.826	322.601	182.821	588.703	238.182	204.068	105.787	253.097	-180.803	111.281	315.747	-146.875	592.190	511.058	-199.850	39.735	311.559	-203.530	1615.155	307.420	-192.905	1042.404	0.000	0.000	0.000
7	0.06000	287.145	251.995	1607.105	496.980	217.321	38.837	322.515	182.771	588.699	238.182	204.063	105.791	253.061	-180.810	111.263	315.572	-146.933	592.196	511.054	-199.851	39.768	311.457	-203.490	1615.177	307.248	-192.995	1042.389	0.000	0.000	0.000
8	0.07000	287.026	251.999	1607.028	496.977	217.345	38.886	322.447	182.720	588.685	238.163	204.050	105.750	253.019	-180.838	111.257	315.421	-146.969	592.201	511.029	-199.852	39.823	311.335	-203.454	1615.224	307.048	-193.098	1042.454	0.000	0.000	0.000
9	0.08000	286.900	252.019	1606.988	496.961	217.308	38.896	322.393	182.655	588.680	238.162	204.014	105.754	252.991	-180.864	111.236	315.290	-147.089	592.215	511.025	-199.839	39.874	311.248	-203.429	1615.265	306.851	-193.208	1042.443	0.000	0.000	0.000
10	0.09000	286.763	252.055	1606.923	496.959	217.308	38.907	322.341	182.612	588.718	238.154	203.972	105.742	252.964	-180.893	111.229	315.169	-147.149	592.221	511.000	-199.847	39.914	311.159	-203.395	1615.317	306.629	-193.338	1042.470	0.000	0.000	0.000
11	0.10000	286.634	252.039	1606.861	496.962	217.310	38.919	322.308	182.514	588.675	238.173	203.959	105.730	252.928	-180.897	111.213	315.013	-147.231	592.221	510.994	-199.853	39.949	311.025	-203.365	1615.426	306.441	-193.435	1042.496	0.000	0.000	0.000
12	0.11000	286.524	252.055	1606.842	496.952	217.307	38.941	322.300	182.448	588.662	238.145	203.915	105.716	252.911	-180.916	111.204	314.871	-147.315	592.248	510.985	-199.858	39.976	310.945	-203.345	1615.454	306.251	-193.513	1042.456	0.000	0.000	0.000
