NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:27:21
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KL_Angular_Velocity

Frame	Time	KL_Angular_Velocity	
1	0.00000	0.000
2	0.01000	2.940
3	0.02000	2.022
4	0.03000	1.209
5	0.04000	0.499
6	0.05000	-0.107
7	0.06000	-0.609
8	0.07000	-1.229
9	0.08000	-1.602
10	0.09000	-1.652
11	0.10000	-1.444
12	0.11000	-0.975
13	0.12000	-0.294
14	0.13000	0.306
15	0.14000	0.840
16	0.15000	1.133
17	0.16000	1.088
18	0.17000	0.833
19	0.18000	0.399
20	0.19000	-0.061
21	0.20000	-0.446
22	0.21000	-0.607
23	0.22000	-0.481
24	0.23000	-0.182
25	0.24000	0.228
26	0.25000	0.685
27	0.26000	1.103
28	0.27000	1.388
29	0.28000	1.461
30	0.29000	1.192
31	0.30000	0.703
32	0.31000	0.171
33	0.32000	-0.366
34	0.33000	-0.872
35	0.34000	-1.197
36	0.35000	-1.065
37	0.36000	-0.574
38	0.37000	0.208
39	0.38000	1.066
40	0.39000	1.698
41	0.40000	2.097
42	0.41000	2.070
43	0.42000	1.581
44	0.43000	0.692
45	0.44000	-0.500
46	0.45000	-1.621
47	0.46000	-2.483
48	0.47000	-2.936
49	0.48000	-2.954
50	0.49000	-2.566
51	0.50000	-1.838
52	0.51000	-1.019
53	0.52000	-0.205
54	0.53000	0.407
55	0.54000	0.608
56	0.55000	0.530
57	0.56000	0.306
58	0.57000	-0.018
59	0.58000	-0.351
60	0.59000	-0.613
61	0.60000	-0.650
62	0.61000	-0.552
63	0.62000	-0.300
64	0.63000	0.197
65	0.64000	0.642
66	0.65000	0.935
67	0.66000	1.116
68	0.67000	1.094
69	0.68000	0.745
70	0.69000	0.148
71	0.70000	-0.492
72	0.71000	-1.175
73	0.72000	-1.658
74	0.73000	-1.709
75	0.74000	-1.508
76	0.75000	-1.057
77	0.76000	-0.345
78	0.77000	0.441
79	0.78000	1.004
80	0.79000	1.239
81	0.80000	1.089
82	0.81000	0.574
83	0.82000	-0.064
84	0.83000	-0.775
85	0.84000	-1.426
86	0.85000	-1.754
87	0.86000	-1.719
88	0.87000	-1.286
89	0.88000	-0.547
90	0.89000	0.299
91	0.90000	1.061
92	0.91000	1.638
93	0.92000	1.925
94	0.93000	1.571
95	0.94000	0.700
96	0.95000	-0.346
97	0.96000	-1.410
98	0.97000	-2.283
99	0.98000	-2.798
100	0.99000	-2.879
101	1.00000	-2.561
102	1.01000	-1.850
103	1.02000	-0.969
104	1.03000	-0.283
105	1.04000	0.220
106	1.05000	0.522
107	1.06000	0.562
108	1.07000	0.151
109	1.08000	-0.737
110	1.09000	-1.860
111	1.10000	-3.466
112	1.11000	-5.901
113	1.12000	-9.079
114	1.13000	-12.786
115	1.14000	-16.944
116	1.15000	-21.460
117	1.16000	-25.851
118	1.17000	-29.733
119	1.18000	-32.813
120	1.19000	-34.874
121	1.20000	-36.311
122	1.21000	-37.410
123	1.22000	-38.009
124	1.23000	-38.516
125	1.24000	-39.167
126	1.25000	-39.656
127	1.26000	-39.739
128	1.27000	-39.188
129	1.28000	-38.162
130	1.29000	-36.808
131	1.30000	-35.495
132	1.31000	-34.777
133	1.32000	-35.199
134	1.33000	-37.504
135	1.34000	-41.558
136	1.35000	-46.453
137	1.36000	-51.602
138	1.37000	-56.242
139	1.38000	-59.652
140	1.39000	-61.333
141	1.40000	-62.295
142	1.41000	-63.335
143	1.42000	-64.627
144	1.43000	-66.889
145	1.44000	-69.823
146	1.45000	-72.939
147	1.46000	-76.004
148	1.47000	-78.260
149	1.48000	-79.000
150	1.49000	-78.651
151	1.50000	-78.852
152	1.51000	-80.322
153	1.52000	-83.467
154	1.53000	-87.516
155	1.54000	-90.624
156	1.55000	-92.617
157	1.56000	-93.179
158	1.57000	-92.514
159	1.58000	-91.656
160	1.59000	-91.703
161	1.60000	-93.301
162	1.61000	-96.212
163	1.62000	-99.798
164	1.63000	-102.374
165	1.64000	-103.082
166	1.65000	-102.489
167	1.66000	-100.771
168	1.67000	-99.055
169	1.68000	-98.505
170	1.69000	-99.349
171	1.70000	-101.191
172	1.71000	-103.085
173	1.72000	-104.588
174	1.73000	-105.438
175	1.74000	-105.531
176	1.75000	-105.024
177	1.76000	-104.037
178	1.77000	-103.192
179	1.78000	-102.944
180	1.79000	-103.064
181	1.80000	-103.623
182	1.81000	-104.333
183	1.82000	-105.420
184	1.83000	-106.787
185	1.84000	-107.892
186	1.85000	-108.666
187	1.86000	-108.877
188	1.87000	-108.757
189	1.88000	-108.173
190	1.89000	-106.713
191	1.90000	-104.602
192	1.91000	-102.282
193	1.92000	-100.472
194	1.93000	-99.135
195	1.94000	-97.760
196	1.95000	-96.229
197	1.96000	-94.131
198	1.97000	-91.589
199	1.98000	-88.676
200	1.99000	-85.376
201	2.00000	-81.882
202	2.01000	-78.619
203	2.02000	-75.873
204	2.03000	-73.411
205	2.04000	-71.106
206	2.05000	-68.892
207	2.06000	-66.467
208	2.07000	-63.864
209	2.08000	-60.982
210	2.09000	-57.694
211	2.10000	-54.343
212	2.11000	-51.125
213	2.12000	-48.227
214	2.13000	-45.870
215	2.14000	-43.881
216	2.15000	-42.014
217	2.16000	-40.398
218	2.17000	-39.073
219	2.18000	-37.788
220	2.19000	-36.376
221	2.20000	-34.863
222	2.21000	-32.666
223	2.22000	-29.633
224	2.23000	-25.952
225	2.24000	-21.254
226	2.25000	-15.206
227	2.26000	-7.891
228	2.27000	0.090
229	2.28000	7.391
230	2.29000	12.953
231	2.30000	16.716
232	2.31000	18.670
233	2.32000	18.794
234	2.33000	17.411
235	2.34000	14.949
236	2.35000	12.315
237	2.36000	10.224
238	2.37000	8.343
239	2.38000	6.009
240	2.39000	3.249
241	2.40000	0.686
242	2.41000	-1.777
243	2.42000	-4.217
244	2.43000	-6.657
245	2.44000	-9.375
246	2.45000	-12.281
247	2.46000	-15.295
248	2.47000	-18.258
249	2.48000	-20.797
250	2.49000	-22.630
251	2.50000	-23.463
252	2.51000	-23.341
253	2.52000	-22.430
254	2.53000	-20.993
255	2.54000	-19.241
256	2.55000	-17.300
257	2.56000	-15.494
258	2.57000	-13.697
259	2.58000	-12.173
260	2.59000	-10.912
261	2.60000	-9.307
262	2.61000	-7.799
263	2.62000	-6.889
264	2.63000	-6.511
265	2.64000	-6.378
266	2.65000	-6.422
267	2.66000	-6.692
268	2.67000	-6.925
269	2.68000	-6.987
270	2.69000	-6.450
271	2.70000	-5.093
272	2.71000	-3.616
273	2.72000	-2.318
274	2.73000	-0.968
275	2.74000	0.541
276	2.75000	2.072
277	2.76000	3.496
278	2.77000	4.879
279	2.78000	6.249
280	2.79000	7.402
281	2.80000	8.205
282	2.81000	8.735
283	2.82000	8.888
284	2.83000	8.654
285	2.84000	8.327
286	2.85000	8.100
287	2.86000	7.920
288	2.87000	7.706
289	2.88000	7.503
290	2.89000	7.129
291	2.90000	6.629
292	2.91000	6.132
293	2.92000	5.420
294	2.93000	4.585
295	2.94000	3.829
296	2.95000	3.258
297	2.96000	2.793
298	2.97000	2.340
299	2.98000	1.909
300	2.99000	1.306
301	3.00000	0.797
302	3.01000	0.465
303	3.02000	0.060
304	3.03000	-0.241
305	3.04000	-0.462
306	3.05000	-0.665
307	3.06000	-0.811
308	3.07000	-1.009
309	3.08000	-1.288
310	3.09000	-1.594
311	3.10000	-1.744
312	3.11000	-1.699
313	3.12000	-1.610
314	3.13000	-1.392
315	3.14000	-1.217
316	3.15000	-1.399
317	3.16000	-1.745
318	3.17000	-2.121
319	3.18000	-2.623
320	3.19000	-3.235
321	3.20000	-3.619
322	3.21000	-3.719
323	3.22000	-3.605
324	3.23000	-3.118
325	3.24000	-3.036
326	3.25000	-3.357
327	3.26000	-3.296
328	3.27000	-2.882
329	3.28000	-2.051
330	3.29000	-0.538
331	3.30000	1.677
332	3.31000	4.160
333	3.32000	6.844
334	3.33000	9.503
335	3.34000	11.387
336	3.35000	12.938
337	3.36000	14.332
338	3.37000	15.384
339	3.38000	16.530
340	3.39000	17.937
341	3.40000	19.235
342	3.41000	20.355
343	3.42000	21.610
344	3.43000	23.091
345	3.44000	24.862
346	3.45000	27.044
347	3.46000	29.637
348	3.47000	32.648
349	3.48000	36.229
350	3.49000	40.233
351	3.50000	44.331
352	3.51000	48.527
353	3.52000	52.679
354	3.53000	56.580
355	3.54000	60.137
356	3.55000	63.261
357	3.56000	65.981
358	3.57000	68.436
359	3.58000	70.935
360	3.59000	73.609
361	3.60000	76.499
362	3.61000	79.613
363	3.62000	82.747
364	3.63000	85.635
365	3.64000	88.109
366	3.65000	90.092
367	3.66000	91.687
368	3.67000	92.878
369	3.68000	93.725
370	3.69000	94.376
371	3.70000	95.281
372	3.71000	96.476
373	3.72000	97.588
374	3.73000	98.660
375	3.74000	99.840
376	3.75000	101.172
377	3.76000	102.759
378	3.77000	104.536
379	3.78000	106.432
380	3.79000	108.416
381	3.80000	110.721
382	3.81000	113.025
383	3.82000	114.777
384	3.83000	116.045
385	3.84000	116.904
386	3.85000	117.422
387	3.86000	118.021
388	3.87000	118.972
389	3.88000	120.125
390	3.89000	121.357
391	3.90000	122.538
392	3.91000	123.462
393	3.92000	123.800
394	3.93000	123.624
395	3.94000	123.194
396	3.95000	122.704
397	3.96000	122.290
398	3.97000	121.800
399	3.98000	121.559
400	3.99000	121.706
401	4.00000	121.562
402	4.01000	121.027
403	4.02000	120.286
404	4.03000	119.188
405	4.04000	117.375
406	4.05000	114.827
407	4.06000	111.814
408	4.07000	108.482
409	4.08000	105.570
410	4.09000	102.592
411	4.10000	99.179
412	4.11000	96.076
413	4.12000	92.749
414	4.13000	88.667
415	4.14000	83.755
416	4.15000	78.391
417	4.16000	72.837
418	4.17000	67.021
419	4.18000	60.922
420	4.19000	54.229
421	4.20000	47.350
422	4.21000	40.677
423	4.22000	33.820
424	4.23000	26.973
425	4.24000	20.312
426	4.25000	13.991
427	4.26000	8.382
428	4.27000	3.631
429	4.28000	-0.216
430	4.29000	-2.874
431	4.30000	-4.449
432	4.31000	-4.985
433	4.32000	-4.554
434	4.33000	-3.547
435	4.34000	-2.224
436	4.35000	-0.801
437	4.36000	0.797
438	4.37000	2.266
439	4.38000	3.223
440	4.39000	3.579
441	4.40000	3.266
442	4.41000	2.634
443	4.42000	1.805
444	4.43000	0.934
445	4.44000	0.506
446	4.45000	0.875
447	4.46000	2.315
448	4.47000	4.800
449	4.48000	8.092
450	4.49000	12.068
451	4.50000	16.543
452	4.51000	21.010
453	4.52000	24.353
454	4.53000	25.864
455	4.54000	25.678
456	4.55000	23.682
457	4.56000	20.126
458	4.57000	15.574
459	4.58000	10.494
460	4.59000	5.969
461	4.60000	3.065
462	4.61000	2.193
463	4.62000	3.290
464	4.63000	5.958
465	4.64000	9.665
466	4.65000	13.376
467	4.66000	16.321
468	4.67000	17.811
469	4.68000	17.468
470	4.69000	15.740
471	4.70000	13.013
472	4.71000	9.711
473	4.72000	6.335
474	4.73000	3.239
475	4.74000	0.608
476	4.75000	-1.278
477	4.76000	-2.109
478	4.77000	-1.861
479	4.78000	-0.651
480	4.79000	1.183
481	4.80000	3.057
482	4.81000	4.382
483	4.82000	4.826
484	4.83000	4.400
485	4.84000	3.089
486	4.85000	1.064
487	4.86000	-1.270
488	4.87000	-3.685
489	4.88000	-6.045
490	4.89000	-8.076
491	4.90000	-9.629
492	4.91000	-10.724
493	4.92000	-11.206
494	4.93000	-11.087
495	4.94000	-10.478
496	4.95000	-9.611
497	4.96000	-8.673
498	4.97000	-7.827
499	4.98000	-7.316
500	4.99000	-7.247
501	5.00000	-7.641
502	5.01000	-8.394
503	5.02000	-9.400
504	5.03000	-10.599
505	5.04000	-11.830
506	5.05000	-13.072
507	5.06000	-14.488
508	5.07000	-16.134
509	5.08000	-17.987
510	5.09000	-19.879
511	5.10000	-21.438
512	5.11000	-22.379
513	5.12000	-22.667
514	5.13000	-22.733
515	5.14000	-23.249
516	5.15000	-24.468
517	5.16000	-26.355
518	5.17000	-28.486
519	5.18000	-30.838
520	5.19000	-33.559
521	5.20000	-35.758
522	5.21000	-37.419
523	5.22000	-39.270
524	5.23000	-41.616
525	5.24000	-44.675
526	5.25000	-48.361
527	5.26000	-52.709
528	5.27000	-57.536
529	5.28000	-62.540
530	5.29000	-67.026
531	5.30000	-69.868
532	5.31000	-71.146
533	5.32000	-71.365
534	5.33000	-71.061
535	5.34000	-71.432
536	5.35000	-73.123
537	5.36000	-76.059
538	5.37000	-79.754
539	5.38000	-83.738
540	5.39000	-88.099
541	5.40000	-92.635
542	5.41000	-96.032
543	5.42000	-97.388
544	5.43000	-97.235
545	5.44000	-96.332
546	5.45000	-95.303
547	5.46000	-95.227
548	5.47000	-96.108
549	5.48000	-97.574
550	5.49000	-100.081
551	5.50000	-102.965
552	5.51000	-105.284
553	5.52000	-106.793
554	5.53000	-107.624
555	5.54000	-108.093
556	5.55000	-108.955
557	5.56000	-110.880
558	5.57000	-113.336
559	5.58000	-115.768
560	5.59000	-118.091
561	5.60000	-119.855
562	5.61000	-120.993
563	5.62000	-121.641
564	5.63000	-121.527
565	5.64000	-120.543
566	5.65000	-118.741
567	5.66000	-116.431
568	5.67000	-114.686
569	5.68000	-113.911
570	5.69000	-113.638
571	5.70000	-113.429
572	5.71000	-112.687
573	5.72000	-111.659
574	5.73000	-110.454
575	5.74000	-109.208
576	5.75000	-108.001
577	5.76000	-106.395
578	5.77000	-104.395
579	5.78000	-101.923
580	5.79000	-99.039
581	5.80000	-95.908
582	5.81000	-92.062
583	5.82000	-87.765
584	5.83000	-83.483
585	5.84000	-79.210
586	5.85000	-75.262
587	5.86000	-71.665
588	5.87000	-68.468
589	5.88000	-65.663
590	5.89000	-63.241
591	5.90000	-61.216
592	5.91000	-59.184
593	5.92000	-57.336
594	5.93000	-55.980
595	5.94000	-54.786
596	5.95000	-53.947
597	5.96000	-53.356
598	5.97000	-52.678
599	5.98000	-51.628
600	5.99000	-50.167
601	6.00000	-48.631
602	6.01000	-47.159
603	6.02000	-45.771
604	6.03000	-45.017
605	6.04000	-44.598
606	6.05000	-43.293
607	6.06000	-40.551
608	6.07000	-35.965
609	6.08000	-29.403
610	6.09000	-21.004
611	6.10000	-11.440
612	6.11000	-1.921
613	6.12000	6.396
614	6.13000	12.096
615	6.14000	15.215
616	6.15000	16.516
617	6.16000	15.994
618	6.17000	14.014
619	6.18000	11.433
620	6.19000	9.004
621	6.20000	6.568
622	6.21000	3.910
623	6.22000	1.062
624	6.23000	-1.884
625	6.24000	-5.311
626	6.25000	-8.935
627	6.26000	-11.890
628	6.27000	-13.910
629	6.28000	-14.401
630	6.29000	-13.354
631	6.30000	-11.244
632	6.31000	-8.292
633	6.32000	-4.723
634	6.33000	-0.842
635	6.34000	1.682
636	6.35000	2.908
637	6.36000	3.828
638	6.37000	4.251
639	6.38000	4.391
640	6.39000	4.262
641	6.40000	3.927
642	6.41000	3.634
643	6.42000	3.651
644	6.43000	3.727
645	6.44000	3.212
646	6.45000	2.367
647	6.46000	1.532
648	6.47000	0.573
649	6.48000	-0.344
650	6.49000	-1.254
651	6.50000	-2.039
652	6.51000	-2.425
653	6.52000	-2.441
654	6.53000	-2.248
655	6.54000	-1.770
656	6.55000	-1.154
657	6.56000	-0.622
658	6.57000	-0.194
659	6.58000	0.172
660	6.59000	0.375
661	6.60000	0.164
662	6.61000	0.120
663	6.62000	0.466
664	6.63000	0.723
665	6.64000	0.826
666	6.65000	0.824
667	6.66000	0.771
668	6.67000	0.659
669	6.68000	0.367
670	6.69000	-0.144
671	6.70000	-0.749
672	6.71000	-0.925
673	6.72000	-0.756
674	6.73000	-0.817
675	6.74000	-0.966
676	6.75000	-1.004
