NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:30:55
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	KR_Angular_Acceleration

Frame	Time	KR_Angular_Acceleration	
1	0.00000	0.000
2	0.01000	29.304
3	0.02000	15.913
4	0.03000	4.656
5	0.04000	-4.465
6	0.05000	-11.452
7	0.06000	-16.303
8	0.07000	-22.119
9	0.08000	-38.701
10	0.09000	23.454
11	0.10000	9.640
12	0.11000	27.036
13	0.12000	23.450
14	0.13000	23.541
15	0.14000	18.525
16	0.15000	-17.555
17	0.16000	8.814
18	0.17000	-18.835
19	0.18000	-12.849
20	0.19000	-15.390
21	0.20000	2.580
22	0.21000	-19.605
23	0.22000	-8.169
24	0.23000	-12.163
25	0.24000	-13.695
26	0.25000	-11.213
27	0.26000	13.081
28	0.27000	11.895
29	0.28000	11.147
30	0.29000	9.184
31	0.30000	26.903
32	0.31000	8.171
33	0.32000	-10.900
34	0.33000	-9.129
35	0.34000	-16.536
36	0.35000	-15.761
37	0.36000	-17.943
38	0.37000	-24.762
39	0.38000	-11.678
40	0.39000	8.351
41	0.40000	23.555
42	0.41000	7.561
43	0.42000	-25.270
44	0.43000	-25.402
45	0.44000	-29.390
46	0.45000	-27.222
47	0.46000	17.833
48	0.47000	25.411
49	0.48000	53.517
50	0.49000	56.622
51	0.50000	44.611
52	0.51000	36.349
53	0.52000	-22.590
54	0.53000	-29.225
55	0.54000	-35.541
56	0.55000	-17.789
57	0.56000	5.749
58	0.57000	10.257
59	0.58000	22.328
60	0.59000	46.314
61	0.60000	21.479
62	0.61000	41.546
63	0.62000	-13.244
64	0.63000	4.526
65	0.64000	-13.454
66	0.65000	-4.355
67	0.66000	-27.545
68	0.67000	-47.454
69	0.68000	-27.579
70	0.69000	-33.300
71	0.70000	-40.021
72	0.71000	-12.589
73	0.72000	-0.184
74	0.73000	22.005
75	0.74000	50.577
76	0.75000	51.504
77	0.76000	12.442
78	0.77000	11.131
79	0.78000	-11.117
80	0.79000	-52.277
81	0.80000	-39.628
82	0.81000	-38.745
83	0.82000	-32.484
84	0.83000	-13.003
85	0.84000	24.200
86	0.85000	22.935
87	0.86000	17.081
88	0.87000	31.471
89	0.88000	6.385
90	0.89000	1.445
91	0.90000	-1.778
92	0.91000	-2.622
93	0.92000	-26.927
94	0.93000	-32.175
95	0.94000	-49.830
96	0.95000	-64.629
97	0.96000	-80.736
98	0.97000	-65.438
99	0.98000	-43.567
100	0.99000	-1.757
101	1.00000	7.677
102	1.01000	53.130
103	1.02000	67.572
104	1.03000	22.820
105	1.04000	-9.384
106	1.05000	-41.067
107	1.06000	-60.602
108	1.07000	-57.299
109	1.08000	-53.748
110	1.09000	-16.051
111	1.10000	-17.060
112	1.11000	-3.407
113	1.12000	-9.385
114	1.13000	-53.874
115	1.14000	-76.240
116	1.15000	-4.929
117	1.16000	-29.001
118	1.17000	-55.024
119	1.18000	-66.533
120	1.19000	-91.582
121	1.20000	-116.372
122	1.21000	-156.592
