NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:30:40
DATA_INCLUDED	Angular Velocity
DATA_TYPES	KR_Angular_Velocity

Frame	Time	KR_Angular_Velocity	
1	0.00000	0.000
2	0.01000	0.688
3	0.02000	0.616
4	0.03000	0.539
5	0.04000	0.455
6	0.05000	0.366
7	0.06000	0.271
8	0.07000	0.079
9	0.08000	-0.225
10	0.09000	-0.301
11	0.10000	-0.136
12	0.11000	0.047
13	0.12000	0.300
14	0.13000	0.535
15	0.14000	0.745
16	0.15000	0.750
17	0.16000	0.706
18	0.17000	0.656
19	0.18000	0.498
20	0.19000	0.357
21	0.20000	0.292
22	0.21000	0.207
23	0.22000	0.068
24	0.23000	-0.033
25	0.24000	-0.162
26	0.25000	-0.287
27	0.26000	-0.278
28	0.27000	-0.153
29	0.28000	-0.038
30	0.29000	0.064
31	0.30000	0.244
32	0.31000	0.420
33	0.32000	0.406
34	0.33000	0.306
35	0.34000	0.178
36	0.35000	0.016
37	0.36000	-0.152
38	0.37000	-0.366
39	0.38000	-0.548
40	0.39000	-0.565
41	0.40000	-0.405
42	0.41000	-0.249
43	0.42000	-0.338
44	0.43000	-0.591
45	0.44000	-0.865
46	0.45000	-1.148
47	0.46000	-1.195
48	0.47000	-0.979
49	0.48000	-0.585
50	0.49000	-0.034
51	0.50000	0.472
52	0.51000	0.877
53	0.52000	0.946
54	0.53000	0.687
55	0.54000	0.363
56	0.55000	0.096
57	0.56000	0.036
58	0.57000	0.116
59	0.58000	0.279
60	0.59000	0.622
61	0.60000	0.961
62	0.61000	1.276
63	0.62000	1.418
64	0.63000	1.374
65	0.64000	1.330
66	0.65000	1.241
67	0.66000	1.081
68	0.67000	0.706
69	0.68000	0.331
70	0.69000	0.027
71	0.70000	-0.340
72	0.71000	-0.603
73	0.72000	-0.667
74	0.73000	-0.558
75	0.74000	-0.195
76	0.75000	0.316
77	0.76000	0.635
78	0.77000	0.753
79	0.78000	0.753
80	0.79000	0.436
81	0.80000	-0.023
82	0.81000	-0.415
83	0.82000	-0.771
84	0.83000	-0.999
85	0.84000	-0.943
86	0.85000	-0.707
87	0.86000	-0.507
88	0.87000	-0.264
89	0.88000	-0.075
90	0.89000	-0.036
91	0.90000	-0.037
92	0.91000	-0.059
93	0.92000	-0.207
94	0.93000	-0.503
95	0.94000	-0.913
96	0.95000	-1.485
97	0.96000	-2.212
98	0.97000	-2.943
99	0.98000	-3.488
100	0.99000	-3.714
101	1.00000	-3.685
102	1.01000	-3.381
103	1.02000	-2.777
104	1.03000	-2.325
105	1.04000	-2.258
106	1.05000	-2.510
107	1.06000	-3.019
108	1.07000	-3.608
109	1.08000	-4.163
110	1.09000	-4.512
111	1.10000	-4.678
112	1.11000	-4.780
113	1.12000	-4.844
114	1.13000	-5.161
115	1.14000	-5.811
116	1.15000	-6.217
117	1.16000	-6.387
118	1.17000	-6.807
119	1.18000	-7.415
120	1.19000	-8.205
121	1.20000	-9.245
122	1.21000	-10.610
123	1.22000	-12.247
124	1.23000	-14.066
125	1.24000	-15.920
126	1.25000	-17.122
127	1.26000	-18.693
128	1.27000	-21.282
129	1.28000	-23.714
130	1.29000	-25.933
131	1.30000	-28.111
132	1.31000	-30.669
133	1.32000	-33.878
134	1.33000	-37.532
135	1.34000	-41.323
136	1.35000	-44.621
137	1.36000	-47.441
138	1.37000	-49.386
139	1.38000	-50.040
140	1.39000	-50.524
141	1.40000	-52.097
142	1.41000	-55.357
143	1.42000	-59.761
144	1.43000	-64.870
145	1.44000	-71.028
146	1.45000	-78.739
147	1.46000	-87.228
148	1.47000	-94.583
149	1.48000	-99.219
150	1.49000	-100.158
151	1.50000	-97.659
152	1.51000	-93.257
153	1.52000	-88.844
154	1.53000	-86.288
155	1.54000	-86.822
156	1.55000	-90.554
157	1.56000	-96.174
158	1.57000	-101.905
159	1.58000	-106.994
160	1.59000	-110.343
161	1.60000	-111.167
162	1.61000	-110.505
163	1.62000	-109.737
164	1.63000	-109.034
165	1.64000	-108.599
166	1.65000	-108.575
167	1.66000	-108.797
168	1.67000	-109.313
169	1.68000	-110.330
170	1.69000	-111.507
171	1.70000	-112.038
172	1.71000	-111.873
173	1.72000	-111.585
174	1.73000	-111.581
175	1.74000	-112.459
176	1.75000	-114.174
177	1.76000	-115.666
178	1.77000	-116.009
179	1.78000	-116.009
180	1.79000	-116.507
181	1.80000	-116.956
182	1.81000	-117.031
183	1.82000	-116.387
184	1.83000	-115.220
185	1.84000	-113.734
186	1.85000	-111.956
187	1.86000	-109.990
188	1.87000	-108.012
189	1.88000	-107.134
190	1.89000	-107.092
191	1.90000	-106.751
192	1.91000	-105.893
193	1.92000	-104.330
194	1.93000	-102.809
