NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:28:11
DATA_INCLUDED	Angle
DATA_TYPES	LL_Angle

Frame	Time	LL_Angle	
1	0.00000	98.249
2	0.01000	98.276
3	0.02000	98.299
4	0.03000	98.318
5	0.04000	98.332
6	0.05000	98.341
7	0.06000	98.345
8	0.07000	98.343
9	0.08000	98.336
10	0.09000	98.327
11	0.10000	98.323
12	0.11000	98.323
13	0.12000	98.327
14	0.13000	98.334
15	0.14000	98.344
16	0.15000	98.352
17	0.16000	98.359
18	0.17000	98.361
19	0.18000	98.359
20	0.19000	98.353
21	0.20000	98.346
22	0.21000	98.337
23	0.22000	98.334
24	0.23000	98.335
25	0.24000	98.342
26	0.25000	98.354
27	0.26000	98.369
28	0.27000	98.388
29	0.28000	98.403
30	0.29000	98.415
31	0.30000	98.420
32	0.31000	98.419
33	0.32000	98.413
34	0.33000	98.405
35	0.34000	98.396
36	0.35000	98.392
37	0.36000	98.393
38	0.37000	98.403
39	0.38000	98.418
40	0.39000	98.437
41	0.40000	98.456
42	0.41000	98.472
43	0.42000	98.482
44	0.43000	98.484
45	0.44000	98.477
46	0.45000	98.466
47	0.46000	98.449
48	0.47000	98.432
49	0.48000	98.418
50	0.49000	98.408
51	0.50000	98.402
52	0.51000	98.403
53	0.52000	98.406
54	0.53000	98.411
55	0.54000	98.414
56	0.55000	98.415
57	0.56000	98.410
58	0.57000	98.400
59	0.58000	98.386
60	0.59000	98.371
61	0.60000	98.359
62	0.61000	98.353
63	0.62000	98.353
64	0.63000	98.359
65	0.64000	98.370
66	0.65000	98.384
67	0.66000	98.397
68	0.67000	98.406
69	0.68000	98.409
70	0.69000	98.407
71	0.70000	98.398
72	0.71000	98.386
73	0.72000	98.373
74	0.73000	98.360
75	0.74000	98.352
76	0.75000	98.351
77	0.76000	98.355
78	0.77000	98.365
79	0.78000	98.376
80	0.79000	98.387
81	0.80000	98.396
82	0.81000	98.399
83	0.82000	98.397
84	0.83000	98.388
85	0.84000	98.376
86	0.85000	98.364
87	0.86000	98.354
88	0.87000	98.350
89	0.88000	98.353
90	0.89000	98.363
91	0.90000	98.379
92	0.91000	98.397
93	0.92000	98.416
94	0.93000	98.429
95	0.94000	98.434
96	0.95000	98.435
97	0.96000	98.432
98	0.97000	98.432
99	0.98000	98.440
100	0.99000	98.458
101	1.00000	98.491
102	1.01000	98.538
103	1.02000	98.594
104	1.03000	98.652
105	1.04000	98.705
106	1.05000	98.752
107	1.06000	98.790
108	1.07000	98.817
109	1.08000	98.831
110	1.09000	98.836
111	1.10000	98.837
112	1.11000	98.832
113	1.12000	98.822
114	1.13000	98.805
115	1.14000	98.778
116	1.15000	98.739
117	1.16000	98.685
118	1.17000	98.612
119	1.18000	98.522
120	1.19000	98.420
121	1.20000	98.314
122	1.21000	98.207
123	1.22000	98.106
124	1.23000	98.017
125	1.24000	97.940
126	1.25000	97.873
127	1.26000	97.812
128	1.27000	97.755
129	1.28000	97.701
130	1.29000	97.648
131	1.30000	97.596
132	1.31000	97.542
133	1.32000	97.487
134	1.33000	97.428
135	1.34000	97.361
136	1.35000	97.282
137	1.36000	97.194
138	1.37000	97.092
139	1.38000	96.980
140	1.39000	96.863
141	1.40000	96.738
142	1.41000	96.598
143	1.42000	96.433
144	1.43000	96.234
145	1.44000	96.012
146	1.45000	95.778
147	1.46000	95.544
148	1.47000	95.318
149	1.48000	95.109
150	1.49000	94.923
151	1.50000	94.748
152	1.51000	94.572
153	1.52000	94.372
154	1.53000	94.135
155	1.54000	93.863
156	1.55000	93.557
157	1.56000	93.235
158	1.57000	92.923
159	1.58000	92.634
160	1.59000	92.371
161	1.60000	92.132
162	1.61000	91.919
163	1.62000	91.728
164	1.63000	91.548
165	1.64000	91.366
166	1.65000	91.167
167	1.66000	90.958
168	1.67000	90.734
169	1.68000	90.487
170	1.69000	90.207
171	1.70000	89.896
172	1.71000	89.567
173	1.72000	89.236
174	1.73000	88.900
175	1.74000	88.562
176	1.75000	88.222
177	1.76000	87.891
178	1.77000	87.557
179	1.78000	87.215
180	1.79000	86.872
181	1.80000	86.479
182	1.81000	86.087
183	1.82000	85.705
184	1.83000	85.322
185	1.84000	84.933
186	1.85000	84.532
187	1.86000	84.129
188	1.87000	83.720
189	1.88000	83.304
190	1.89000	82.890
191	1.90000	82.456
192	1.91000	82.076
193	1.92000	81.741
194	1.93000	81.449
195	1.94000	81.200
196	1.95000	80.981
197	1.96000	80.796
198	1.97000	80.643
199	1.98000	80.508
200	1.99000	80.389
201	2.00000	80.284
202	2.01000	80.188
203	2.02000	80.097
204	2.03000	80.012
205	2.04000	79.939
206	2.05000	79.876
207	2.06000	79.827
208	2.07000	79.791
209	2.08000	79.768
210	2.09000	79.764
211	2.10000	79.792
212	2.11000	79.854
213	2.12000	79.942
214	2.13000	80.044
215	2.14000	80.159
216	2.15000	80.300
217	2.16000	80.461
218	2.17000	80.629
219	2.18000	80.788
220	2.19000	80.936
221	2.20000	81.069
222	2.21000	81.187
223	2.22000	81.279
224	2.23000	81.351
225	2.24000	81.410
226	2.25000	81.491
227	2.26000	81.689
228	2.27000	82.097
229	2.28000	82.715
230	2.29000	83.497
231	2.30000	84.367
232	2.31000	85.243
233	2.32000	86.037
234	2.33000	86.687
235	2.34000	87.143
236	2.35000	87.417
237	2.36000	87.611
238	2.37000	87.807
239	2.38000	88.008
240	2.39000	88.207
241	2.40000	88.397
242	2.41000	88.563
243	2.42000	88.699
244	2.43000	88.814
245	2.44000	88.904
246	2.45000	88.965
247	2.46000	89.002
248	2.47000	89.023
249	2.48000	89.033
250	2.49000	89.029
251	2.50000	89.009
252	2.51000	88.971
253	2.52000	88.920
254	2.53000	88.861
255	2.54000	88.799
256	2.55000	88.737
257	2.56000	88.682
258	2.57000	88.639
259	2.58000	88.606
260	2.59000	88.578
261	2.60000	88.550
262	2.61000	88.521
263	2.62000	88.487
264	2.63000	88.449
265	2.64000	88.408
266	2.65000	88.363
267	2.66000	88.320
268	2.67000	88.285
269	2.68000	88.253
270	2.69000	88.225
271	2.70000	88.201
272	2.71000	88.185
273	2.72000	88.179
274	2.73000	88.196
275	2.74000	88.235
276	2.75000	88.300
277	2.76000	88.385
278	2.77000	88.489
279	2.78000	88.600
280	2.79000	88.710
281	2.80000	88.816
282	2.81000	88.917
283	2.82000	89.015
284	2.83000	89.115
285	2.84000	89.210
286	2.85000	89.304
287	2.86000	89.395
288	2.87000	89.484
289	2.88000	89.566
290	2.89000	89.643
291	2.90000	89.717
292	2.91000	89.787
293	2.92000	89.854
294	2.93000	89.919
295	2.94000	89.978
296	2.95000	90.033
297	2.96000	90.080
298	2.97000	90.119
299	2.98000	90.150
300	2.99000	90.174
301	3.00000	90.194
302	3.01000	90.210
303	3.02000	90.219
304	3.03000	90.227
305	3.04000	90.231
306	3.05000	90.229
307	3.06000	90.222
308	3.07000	90.209
309	3.08000	90.192
310	3.09000	90.172
311	3.10000	90.150
312	3.11000	90.129
313	3.12000	90.103
314	3.13000	90.070
315	3.14000	90.024
316	3.15000	89.954
317	3.16000	89.861
318	3.17000	89.742
319	3.18000	89.595
320	3.19000	89.419
321	3.20000	89.222
322	3.21000	89.016
323	3.22000	88.797
324	3.23000	88.574
325	3.24000	88.349
326	3.25000	88.115
327	3.26000	87.871
328	3.27000	87.610
329	3.28000	87.319
330	3.29000	87.005
331	3.30000	86.674
332	3.31000	86.340
333	3.32000	86.011
334	3.33000	85.697
335	3.34000	85.406
336	3.35000	85.139
337	3.36000	84.889
338	3.37000	84.651
339	3.38000	84.419
340	3.39000	84.202
341	3.40000	83.999
342	3.41000	83.812
343	3.42000	83.645
344	3.43000	83.496
345	3.44000	83.369
346	3.45000	83.261
347	3.46000	83.171
348	3.47000	83.094
349	3.48000	83.030
350	3.49000	82.979
351	3.50000	82.933
352	3.51000	82.894
353	3.52000	82.871
354	3.53000	82.861
355	3.54000	82.856
356	3.55000	82.852
357	3.56000	82.849
358	3.57000	82.845
359	3.58000	82.840
360	3.59000	82.840
361	3.60000	82.849
362	3.61000	82.877
363	3.62000	82.928
364	3.63000	83.000
365	3.64000	83.091
366	3.65000	83.191
367	3.66000	83.288
368	3.67000	83.383
369	3.68000	83.469
370	3.69000	83.549
371	3.70000	83.647
372	3.71000	83.699
373	3.72000	83.739
374	3.73000	83.785
375	3.74000	83.849
376	3.75000	83.931
377	3.76000	84.033
378	3.77000	84.166
379	3.78000	84.332
380	3.79000	84.528
381	3.80000	84.753
382	3.81000	84.949
383	3.82000	85.159
384	3.83000	85.377
385	3.84000	85.607
386	3.85000	85.843
387	3.86000	86.082
388	3.87000	86.330
389	3.88000	86.590
390	3.89000	86.860
391	3.90000	87.140
392	3.91000	87.433
393	3.92000	87.734
394	3.93000	88.048
395	3.94000	88.369
396	3.95000	88.692
397	3.96000	89.014
398	3.97000	89.340
399	3.98000	89.671
400	3.99000	90.008
401	4.00000	90.353
402	4.01000	90.704
403	4.02000	91.062
404	4.03000	91.427
405	4.04000	91.795
406	4.05000	92.162
407	4.06000	92.523
408	4.07000	92.881
409	4.08000	93.234
410	4.09000	93.581
411	4.10000	93.919
412	4.11000	94.248
413	4.12000	94.567
414	4.13000	94.875
415	4.14000	95.166
416	4.15000	95.434
417	4.16000	95.682
418	4.17000	95.910
419	4.18000	96.114
420	4.19000	96.295
421	4.20000	96.451
422	4.21000	96.582
423	4.22000	96.692
424	4.23000	96.777
425	4.24000	96.836
426	4.25000	96.868
427	4.26000	96.880
428	4.27000	96.874
429	4.28000	96.850
430	4.29000	96.815
431	4.30000	96.772
432	4.31000	96.725
433	4.32000	96.681
434	4.33000	96.641
435	4.34000	96.606
436	4.35000	96.573
437	4.36000	96.543
438	4.37000	96.515
439	4.38000	96.481
440	4.39000	96.438
441	4.40000	96.382
442	4.41000	96.313
443	4.42000	96.242
444	4.43000	96.175
445	4.44000	96.119
446	4.45000	96.083
447	4.46000	96.071
448	4.47000	96.085
449	4.48000	96.122
450	4.49000	96.174
451	4.50000	96.242
452	4.51000	96.319
453	4.52000	96.406
454	4.53000	96.494
455	4.54000	96.577
456	4.55000	96.646
457	4.56000	96.697
458	4.57000	96.728
459	4.58000	96.749
460	4.59000	96.763
461	4.60000	96.781
462	4.61000	96.809
463	4.62000	96.856
464	4.63000	96.921
465	4.64000	97.002
466	4.65000	97.092
467	4.66000	97.186
468	4.67000	97.278
469	4.68000	97.366
470	4.69000	97.445
471	4.70000	97.509
472	4.71000	97.558
473	4.72000	97.593
474	4.73000	97.615
475	4.74000	97.632
476	4.75000	97.647
477	4.76000	97.663
478	4.77000	97.684
479	4.78000	97.713
480	4.79000	97.749
481	4.80000	97.790
482	4.81000	97.831
483	4.82000	97.871
484	4.83000	97.905
485	4.84000	97.933
486	4.85000	97.950
487	4.86000	97.955
488	4.87000	97.949
489	4.88000	97.934
490	4.89000	97.912
491	4.90000	97.886
492	4.91000	97.858
493	4.92000	97.834
494	4.93000	97.815
495	4.94000	97.800
496	4.95000	97.789
497	4.96000	97.782
498	4.97000	97.781
499	4.98000	97.783
500	4.99000	97.788
501	5.00000	97.797
502	5.01000	97.808
503	5.02000	97.820
504	5.03000	97.831
505	5.04000	97.840
506	5.05000	97.845
507	5.06000	97.846
508	5.07000	97.842
509	5.08000	97.831
510	5.09000	97.816
511	5.10000	97.797
512	5.11000	97.774
513	5.12000	97.749
514	5.13000	97.722
515	5.14000	97.690
516	5.15000	97.652
517	5.16000	97.606
518	5.17000	97.549
519	5.18000	97.479
520	5.19000	97.393
521	5.20000	97.292
522	5.21000	97.175
523	5.22000	97.048
524	5.23000	96.914
525	5.24000	96.775
526	5.25000	96.630
527	5.26000	96.472
528	5.27000	96.297
529	5.28000	96.107
530	5.29000	95.908
531	5.30000	95.707
532	5.31000	95.515
533	5.32000	95.335
534	5.33000	95.168
535	5.34000	95.000
536	5.35000	94.828
537	5.36000	94.651
538	5.37000	94.471
539	5.38000	94.289
540	5.39000	94.103
541	5.40000	93.906
542	5.41000	93.694
543	5.42000	93.468
544	5.43000	93.232
545	5.44000	92.988
546	5.45000	92.749
547	5.46000	92.513
548	5.47000	92.272
549	5.48000	92.019
550	5.49000	91.756
551	5.50000	91.488
552	5.51000	91.219
553	5.52000	90.958
554	5.53000	90.701
555	5.54000	90.444
556	5.55000	90.186
557	5.56000	89.923
558	5.57000	89.647
559	5.58000	89.358
560	5.59000	89.061
561	5.60000	88.762
562	5.61000	88.475
563	5.62000	88.133
564	5.63000	87.795
565	5.64000	87.462
566	5.65000	87.142
567	5.66000	86.844
568	5.67000	86.556
569	5.68000	86.270
570	5.69000	85.978
571	5.70000	85.682
572	5.71000	85.382
573	5.72000	85.031
574	5.73000	84.695
575	5.74000	84.349
576	5.75000	83.992
577	5.76000	83.633
578	5.77000	83.277
579	5.78000	82.935
580	5.79000	82.622
581	5.80000	82.345
582	5.81000	82.108
583	5.82000	81.903
584	5.83000	81.722
585	5.84000	81.562
586	5.85000	81.413
587	5.86000	81.270
588	5.87000	81.132
589	5.88000	80.999
590	5.89000	80.879
591	5.90000	80.769
592	5.91000	80.683
593	5.92000	80.636
594	5.93000	80.628
595	5.94000	80.654
596	5.95000	80.700
597	5.96000	80.762
598	5.97000	80.843
599	5.98000	80.944
600	5.99000	81.070
601	6.00000	81.218
602	6.01000	81.394
603	6.02000	81.597
604	6.03000	81.817
605	6.04000	82.035
606	6.05000	82.240
607	6.06000	82.431
608	6.07000	82.611
609	6.08000	82.783
610	6.09000	82.958
611	6.10000	83.177
612	6.11000	83.458
613	6.12000	83.806
614	6.13000	84.201
615	6.14000	84.603
616	6.15000	84.984
617	6.16000	85.326
618	6.17000	85.618
619	6.18000	85.882
620	6.19000	86.165
621	6.20000	86.502
622	6.21000	86.889
623	6.22000	87.309
624	6.23000	87.721
625	6.24000	88.097
626	6.25000	88.406
627	6.26000	88.639
628	6.27000	88.804
629	6.28000	88.943
630	6.29000	89.087
631	6.30000	89.244
632	6.31000	89.408
633	6.32000	89.575
634	6.33000	89.739
635	6.34000	89.898
636	6.35000	90.023
637	6.36000	90.119
638	6.37000	90.185
639	6.38000	90.233
640	6.39000	90.277
641	6.40000	90.325
642	6.41000	90.382
643	6.42000	90.450
644	6.43000	90.529
645	6.44000	90.607
646	6.45000	90.672
647	6.46000	90.716
648	6.47000	90.737
649	6.48000	90.738
650	6.49000	90.721
651	6.50000	90.701
652	6.51000	90.683
653	6.52000	90.675
654	6.53000	90.681
655	6.54000	90.696
656	6.55000	90.721
657	6.56000	90.744
658	6.57000	90.763
659	6.58000	90.772
660	6.59000	90.770
661	6.60000	90.763
662	6.61000	90.744
663	6.62000	90.728
664	6.63000	90.719
665	6.64000	90.715
666	6.65000	90.717
667	6.66000	90.723
668	6.67000	90.727
669	6.68000	90.726
670	6.69000	90.720
671	6.70000	90.708
672	6.71000	90.686
673	6.72000	90.669
674	6.73000	90.651
675	6.74000	90.632
676	6.75000	90.613
677	6.76000	90.592
678	6.77000	90.569
679	6.78000	90.544
680	6.79000	90.519
681	6.80000	90.492
682	6.81000	90.464
683	6.82000	90.432
684	6.83000	90.389
685	6.84000	90.338
686	6.85000	90.279
687	6.86000	90.214
