NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:28:45
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	LL_Angular_Acceleration

Frame	Time	LL_Angular_Acceleration	
1	0.00000	0.000
2	0.01000	13.891
3	0.02000	-21.346
4	0.03000	-46.394
5	0.04000	-61.253
6	0.05000	-65.923
7	0.06000	-60.404
8	0.07000	-62.497
9	0.08000	-9.985
10	0.09000	54.076
11	0.10000	28.334
12	0.11000	46.647
13	0.12000	32.024
14	0.13000	26.483
15	0.14000	-15.759
16	0.15000	-17.356
17	0.16000	-45.045
18	0.17000	-46.312
19	0.18000	-32.768
20	0.19000	-15.271
21	0.20000	-8.336
22	0.21000	44.192
23	0.22000	51.391
24	0.23000	58.586
25	0.24000	40.520
26	0.25000	41.531
27	0.26000	35.606
28	0.27000	-37.655
29	0.28000	-35.639
30	0.29000	-64.974
31	0.30000	-68.336
32	0.31000	-39.847
33	0.32000	-24.935
34	0.33000	-3.985
35	0.34000	36.902
36	0.35000	65.177
37	0.36000	85.428
38	0.37000	39.888
39	0.38000	55.661
40	0.39000	-13.891
41	0.40000	-22.861
42	0.41000	-63.173
43	0.42000	-78.244
44	0.43000	-88.687
45	0.44000	-44.145
46	0.45000	-49.181
47	0.46000	-7.986
48	0.47000	25.601
49	0.48000	46.268
50	0.49000	39.283
51	0.50000	67.677
52	0.51000	20.049
53	0.52000	21.719
54	0.53000	-16.133
55	0.54000	-26.203
56	0.55000	-61.541
57	0.56000	-43.025
58	0.57000	-40.248
59	0.58000	-12.827
60	0.59000	29.774
61	0.60000	54.968
62	0.61000	61.849
63	0.62000	66.418
64	0.63000	44.798
65	0.64000	28.850
66	0.65000	-2.991
67	0.66000	-40.403
68	0.67000	-62.241
69	0.68000	-58.975
70	0.69000	-57.223
71	0.70000	-39.299
72	0.71000	-7.404
73	0.72000	6.171
74	0.73000	44.955
75	0.74000	65.906
76	0.75000	56.192
77	0.76000	55.651
78	0.77000	17.055
79	0.78000	-4.837
80	0.79000	-24.000
81	0.80000	-46.330
82	0.81000	-59.962
83	0.82000	-69.741
84	0.83000	-36.985
85	0.84000	11.994
86	0.85000	18.030
87	0.86000	59.155
88	0.87000	66.913
89	0.88000	65.206
90	0.89000	66.491
91	0.90000	24.192
92	0.91000	2.034
93	0.92000	-56.865
94	0.93000	-77.086
95	0.94000	-48.652
96	0.95000	-31.671
97	0.96000	30.165
98	0.97000	80.926
99	0.98000	96.554
100	0.99000	151.243
101	1.00000	133.116
102	1.01000	98.381
103	1.02000	15.141
104	1.03000	-42.578
105	1.04000	-71.475
106	1.05000	-85.658
107	1.06000	-104.633
108	1.07000	-130.675
109	1.08000	-97.244
110	1.09000	-36.823
111	1.10000	-52.164
112	1.11000	-56.483
113	1.12000	-76.752
114	1.13000	-91.688
115	1.14000	-119.267
116	1.15000	-151.783
117	1.16000	-188.427
118	1.17000	-175.369
119	1.18000	-120.363
120	1.19000	-38.249
121	1.20000	-3.915
122	1.21000	60.053
123	1.22000	111.355
124	1.23000	121.845
125	1.24000	101.974
126	1.25000	65.573
127	1.26000	30.758
128	1.27000	37.836
129	1.28000	4.808
130	1.29000	13.406
131	1.30000	-21.120
132	1.31000	-10.995
133	1.32000	-44.059
134	1.33000	-77.469
135	1.34000	-112.233
136	1.35000	-103.422
137	1.36000	-130.718
138	1.37000	-98.073
139	1.38000	-55.058
140	1.39000	-80.969
141	1.40000	-145.235
142	1.41000	-255.696
143	1.42000	-336.552
144	1.43000	-225.911
145	1.44000	-125.279
146	1.45000	-4.853
147	1.46000	86.186
148	1.47000	175.405
149	1.48000	219.891
150	1.49000	115.480
151	1.50000	-8.661
152	1.51000	-245.524
153	1.52000	-366.400
154	1.53000	-347.042
155	1.54000	-347.174
156	1.55000	-155.768
157	1.56000	102.350
158	1.57000	223.008
159	1.58000	265.223
160	1.59000	236.301
161	1.60000	265.898
162	1.61000	214.033
163	1.62000	117.100
164	1.63000	-29.205
165	1.64000	-159.595
166	1.65000	-109.048
167	1.66000	-143.010
168	1.67000	-240.736
169	1.68000	-319.998
170	1.69000	-313.095
171	1.70000	-181.820
172	1.71000	-19.069
173	1.72000	-42.333
174	1.73000	-32.972
175	1.74000	-14.973
176	1.75000	91.065
177	1.76000	-26.343
178	1.77000	-84.226
179	1.78000	-8.679
180	1.79000	-498.827
181	1.80000	9.593
182	1.81000	100.873
183	1.82000	-18.221
184	1.83000	-57.058
185	1.84000	-107.701
186	1.85000	-32.953
187	1.86000	-58.215
188	1.87000	-64.693
189	1.88000	10.650
190	1.89000	-194.771
191	1.90000	540.184
192	1.91000	454.935
193	1.92000	430.943
194	1.93000	418.123
195	1.94000	309.461
196	1.95000	338.959
197	1.96000	311.301
198	1.97000	189.350
199	1.98000	163.092
200	1.99000	130.313
201	2.00000	95.738
202	2.01000	45.307
203	2.02000	62.559
204	2.03000	118.650
205	2.04000	107.988
206	2.05000	133.858
207	2.06000	131.784
208	2.07000	122.872
209	2.08000	197.072
210	2.09000	317.067
211	2.10000	343.885
212	2.11000	253.834
213	2.12000	144.772
214	2.13000	134.153
215	2.14000	246.149
216	2.15000	208.516
217	2.16000	77.673
218	2.17000	-97.711
219	2.18000	-115.309
220	2.19000	-140.491
221	2.20000	-157.941
222	2.21000	-252.551
223	2.22000	-205.440
224	2.23000	-126.843
225	2.24000	217.803
226	2.25000	1164.614
227	2.26000	2114.484
228	2.27000	2089.574
229	2.28000	1635.833
230	2.29000	887.829
231	2.30000	59.151
232	2.31000	-823.499
233	2.32000	-1434.401
234	2.33000	-1944.618
235	2.34000	-1812.709
236	2.35000	-805.592
237	2.36000	20.554
238	2.37000	42.321
239	2.38000	-5.756
240	2.39000	-97.758
241	2.40000	-245.490
242	2.41000	-285.143
243	2.42000	-220.425
244	2.43000	-248.352
245	2.44000	-291.282
246	2.45000	-237.180
247	2.46000	-165.820
248	2.47000	-106.807
249	2.48000	-134.535
250	2.49000	-162.197
251	2.50000	-181.154
252	2.51000	-137.760
253	2.52000	-70.467
254	2.53000	-28.050
255	2.54000	-9.663
256	2.55000	79.005
257	2.56000	108.424
258	2.57000	115.631
259	2.58000	42.400
260	2.59000	-3.396
261	2.60000	-12.038
262	2.61000	-45.051
263	2.62000	-34.372
264	2.63000	-39.612
265	2.64000	-34.868
266	2.65000	24.069
267	2.66000	66.980
268	2.67000	44.340
269	2.68000	29.516
270	2.69000	44.347
271	2.70000	77.910
272	2.71000	99.973
273	2.72000	232.429
274	2.73000	224.476
275	2.74000	250.158
276	2.75000	210.504
277	2.76000	183.393
278	2.77000	67.484
279	2.78000	-9.934
280	2.79000	-27.339
281	2.80000	-62.490
282	2.81000	-30.534
283	2.82000	24.403
284	2.83000	-54.107
285	2.84000	1.423
286	2.85000	-39.477
287	2.86000	-24.673
288	2.87000	-56.855
289	2.88000	-61.037
290	2.89000	-26.427
291	2.90000	-34.984
292	2.91000	-36.708
293	2.92000	-22.324
294	2.93000	-56.041
295	2.94000	-40.594
296	2.95000	-71.269
297	2.96000	-88.130
298	2.97000	-78.124
299	2.98000	-71.786
300	2.99000	-44.948
301	3.00000	-36.866
302	3.01000	-67.519
303	3.02000	-8.845
304	3.03000	-40.724
305	3.04000	-57.078
306	3.05000	-52.076
307	3.06000	-66.394
308	3.07000	-34.377
309	3.08000	-32.974
310	3.09000	-19.483
311	3.10000	15.387
312	3.11000	-57.470
313	3.12000	-62.566
314	3.13000	-134.027
315	3.14000	-237.704
316	3.15000	-233.546
317	3.16000	-256.415
318	3.17000	-289.582
319	3.18000	-281.638
320	3.19000	-208.005
321	3.20000	-91.096
322	3.21000	-136.045
323	3.22000	-30.255
324	3.23000	-24.377
325	3.24000	-90.318
326	3.25000	-107.443
327	3.26000	-162.373
328	3.27000	-300.009
329	3.28000	-233.848
330	3.29000	-166.774
331	3.30000	-23.654
332	3.31000	40.414
333	3.32000	156.058
334	3.33000	220.587
335	3.34000	245.509
336	3.35000	172.407
337	3.36000	122.223
338	3.37000	53.912
339	3.38000	152.702
340	3.39000	139.891
341	3.40000	164.706
342	3.41000	186.106
343	3.42000	196.942
344	3.43000	210.203
345	3.44000	193.161
346	3.45000	175.627
347	3.46000	132.597
348	3.47000	132.353
349	3.48000	129.193
350	3.49000	46.034
351	3.50000	70.309
352	3.51000	165.332
353	3.52000	127.417
354	3.53000	46.871
355	3.54000	14.338
356	3.55000	4.543
357	3.56000	-5.051
358	3.57000	-12.589
359	3.58000	54.104
360	3.59000	85.467
361	3.60000	195.098
362	3.61000	230.486
363	3.62000	204.067
364	3.63000	189.254
365	3.64000	92.667
366	3.65000	-27.247
367	3.66000	-25.542
368	3.67000	-83.843
369	3.68000	-64.612
370	3.69000	187.787
371	3.70000	-474.317
372	3.71000	-105.208
373	3.72000	54.910
374	3.73000	175.224
375	3.74000	179.444
376	3.75000	211.203
377	3.76000	303.270
378	3.77000	323.942
379	3.78000	307.831
380	3.79000	290.235
381	3.80000	-300.835
382	3.81000	147.913
383	3.82000	88.296
384	3.83000	111.933
385	3.84000	53.104
386	3.85000	37.621
387	3.86000	96.762
388	3.87000	110.760
389	3.88000	103.306
390	3.89000	98.327
391	3.90000	126.918
392	3.91000	86.629
393	3.92000	118.423
394	3.93000	78.730
395	3.94000	20.667
396	3.95000	-9.076
397	3.96000	38.058
398	3.97000	51.722
399	3.98000	58.789
400	3.99000	77.353
401	4.00000	61.328
402	4.01000	70.198
403	4.02000	71.840
404	4.03000	23.116
405	4.04000	-3.691
406	4.05000	-57.361
407	4.06000	-30.581
408	4.07000	-51.439
409	4.08000	-67.380
410	4.09000	-76.906
411	4.10000	-100.350
412	4.11000	-98.515
413	4.12000	-106.781
414	4.13000	-174.771
415	4.14000	-220.525
416	4.15000	-208.920
417	4.16000	-199.132
418	4.17000	-239.917
419	4.18000	-225.693
420	4.19000	-252.333
421	4.20000	-248.047
422	4.21000	-218.242
423	4.22000	-245.013
424	4.23000	-255.701
425	4.24000	-274.732
426	4.25000	-193.580
427	4.26000	-184.901
428	4.27000	-183.746
429	4.28000	-100.191
430	4.29000	-86.749
431	4.30000	-43.171
432	4.31000	33.856
433	4.32000	38.109
