NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	30
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:32:21
DATA_INCLUDED	Position
DATA_TYPES	KR_pos_X	KR_pos_Y	KR_pos_Z	SL_pos_X	SL_pos_Y	SL_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	LR_pos_X	LR_pos_Y	LR_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z

Frame	Time	KR_pos_X	KR_pos_Y	KR_pos_Z	SL_pos_X	SL_pos_Y	SL_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	LR_pos_X	LR_pos_Y	LR_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	
1	0.00000	264.346	-143.214	593.239	217.584	203.718	1673.232	477.577	-210.537	35.436	205.379	-163.211	1655.367	221.526	-171.534	110.910	212.999	220.482	106.208	227.896	240.061	1050.512	274.538	202.217	585.089	221.955	-184.275	1044.306	469.225	250.403	35.678
2	0.01000	264.333	-143.240	593.250	217.469	203.741	1673.231	477.583	-210.536	35.427	205.291	-163.202	1655.325	221.506	-171.531	110.894	212.999	220.472	106.233	227.939	240.021	1050.512	274.443	202.178	585.100	221.929	-184.278	1044.275	469.223	250.425	35.659
3	0.02000	264.302	-143.266	593.248	217.347	203.744	1673.228	477.574	-210.537	35.435	205.225	-163.201	1655.309	221.513	-171.538	110.895	212.984	220.463	106.223	227.960	239.998	1050.547	274.344	202.170	585.146	221.911	-184.305	1044.285	469.227	250.402	35.664
4	0.03000	264.294	-143.243	593.170	217.280	203.789	1673.254	477.572	-210.537	35.449	205.082	-163.226	1655.290	221.512	-171.539	110.913	212.974	220.467	106.314	227.963	239.973	1050.586	274.227	202.144	585.169	221.912	-184.312	1044.284	469.223	250.424	35.683
5	0.04000	264.169	-143.200	593.366	217.137	203.721	1673.291	477.506	-210.434	35.477	205.000	-163.373	1654.983	221.613	-171.542	111.002	212.934	220.432	106.365	227.803	239.691	1050.465	274.026	201.951	585.075	221.926	-184.259	1044.160	469.128	250.306	35.658
6	0.05000	264.185	-143.178	593.383	217.068	203.742	1673.314	477.501	-210.437	35.454	204.866	-163.377	1654.943	221.611	-171.547	110.959	212.913	220.405	106.375	227.730	239.628	1050.453	273.948	201.854	585.003	221.948	-184.260	1044.196	469.115	250.301	35.682
7	0.06000	264.187	-143.253	593.426	217.028	203.757	1673.300	477.496	-210.428	35.460	204.752	-163.377	1654.940	221.621	-171.569	110.992	212.893	220.364	106.369	227.670	239.573	1050.409	273.906	201.809	584.987	221.944	-184.284	1044.233	469.092	250.269	35.687
8	0.07000	264.199	-143.259	593.426	216.981	203.779	1673.291	477.493	-210.419	35.456	204.666	-163.383	1654.958	221.614	-171.563	110.999	212.881	220.363	106.364	227.612	239.536	1050.378	273.907	201.760	584.918	221.907	-184.274	1044.285	469.090	250.263	35.724
9	0.08000	264.216	-143.302	593.455	216.933	203.810	1673.302	477.485	-210.428	35.471	204.598	-163.380	1655.009	221.614	-171.545	110.977	212.875	220.355	106.377	227.543	239.514	1050.334	273.955	201.753	584.909	221.862	-184.303	1044.293	469.083	250.256	35.727
10	0.09000	264.205	-143.314	593.467	216.893	203.855	1673.286	477.486	-210.414	35.472	204.533	-163.333	1655.028	221.610	-171.551	110.979	212.888	220.351	106.346	227.452	239.462	1050.289	273.988	201.757	584.920	221.816	-184.306	1044.298	469.080	250.255	35.733
