NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:36:16
DATA_INCLUDED	Angle
DATA_TYPES	HL_Angle

Frame	Time	HL_Angle	
1	0.00000	170.353
2	0.01000	170.351
3	0.02000	170.351
4	0.03000	170.355
5	0.04000	170.361
6	0.05000	170.370
7	0.06000	170.383
8	0.07000	170.400
9	0.08000	170.418
10	0.09000	170.437
11	0.10000	170.457
12	0.11000	170.477
13	0.12000	170.497
14	0.13000	170.518
15	0.14000	170.537
16	0.15000	170.556
17	0.16000	170.570
18	0.17000	170.586
19	0.18000	170.599
20	0.19000	170.609
21	0.20000	170.614
22	0.21000	170.617
23	0.22000	170.621
24	0.23000	170.625
25	0.24000	170.630
26	0.25000	170.636
27	0.26000	170.644
28	0.27000	170.653
29	0.28000	170.661
30	0.29000	170.668
31	0.30000	170.673
32	0.31000	170.678
33	0.32000	170.682
34	0.33000	170.685
35	0.34000	170.688
36	0.35000	170.692
37	0.36000	170.695
38	0.37000	170.697
39	0.38000	170.700
40	0.39000	170.703
41	0.40000	170.709
42	0.41000	170.717
43	0.42000	170.727
44	0.43000	170.738
45	0.44000	170.749
46	0.45000	170.756
47	0.46000	170.762
48	0.47000	170.766
49	0.48000	170.769
50	0.49000	170.770
51	0.50000	170.771
52	0.51000	170.774
53	0.52000	170.779
54	0.53000	170.784
55	0.54000	170.789
56	0.55000	170.794
57	0.56000	170.798
58	0.57000	170.798
59	0.58000	170.797
60	0.59000	170.791
61	0.60000	170.781
62	0.61000	170.768
63	0.62000	170.751
64	0.63000	170.733
65	0.64000	170.715
66	0.65000	170.695
67	0.66000	170.674
68	0.67000	170.653
69	0.68000	170.634
70	0.69000	170.616
71	0.70000	170.602
72	0.71000	170.591
73	0.72000	170.586
74	0.73000	170.588
75	0.74000	170.595
76	0.75000	170.605
77	0.76000	170.617
78	0.77000	170.629
79	0.78000	170.639
80	0.79000	170.646
81	0.80000	170.653
82	0.81000	170.659
83	0.82000	170.665
84	0.83000	170.671
85	0.84000	170.677
86	0.85000	170.684
87	0.86000	170.689
88	0.87000	170.694
89	0.88000	170.700
90	0.89000	170.703
91	0.90000	170.708
92	0.91000	170.710
93	0.92000	170.714
94	0.93000	170.717
95	0.94000	170.718
96	0.95000	170.719
97	0.96000	170.719
98	0.97000	170.721
99	0.98000	170.723
100	0.99000	170.724
101	1.00000	170.727
102	1.01000	170.732
103	1.02000	170.736
104	1.03000	170.738
105	1.04000	170.742
106	1.05000	170.743
107	1.06000	170.742
108	1.07000	170.741
109	1.08000	170.738
110	1.09000	170.733
111	1.10000	170.729
112	1.11000	170.727
113	1.12000	170.724
114	1.13000	170.727
115	1.14000	170.733
116	1.15000	170.741
117	1.16000	170.751
118	1.17000	170.760
119	1.18000	170.767
120	1.19000	170.773
121	1.20000	170.777
122	1.21000	170.781
123	1.22000	170.784
124	1.23000	170.788
125	1.24000	170.795
126	1.25000	170.800
127	1.26000	170.806
128	1.27000	170.811
129	1.28000	170.816
130	1.29000	170.821
131	1.30000	170.827
132	1.31000	170.832
133	1.32000	170.838
134	1.33000	170.846
135	1.34000	170.855
136	1.35000	170.862
137	1.36000	170.867
138	1.37000	170.874
139	1.38000	170.881
140	1.39000	170.889
141	1.40000	170.897
142	1.41000	170.904
143	1.42000	170.911
144	1.43000	170.916
145	1.44000	170.918
146	1.45000	170.918
147	1.46000	170.914
148	1.47000	170.911
149	1.48000	170.903
150	1.49000	170.895
151	1.50000	170.890
152	1.51000	170.886
153	1.52000	170.883
154	1.53000	170.881
155	1.54000	170.880
156	1.55000	170.879
157	1.56000	170.877
158	1.57000	170.871
159	1.58000	170.862
160	1.59000	170.853
161	1.60000	170.844
162	1.61000	170.835
163	1.62000	170.826
164	1.63000	170.819
165	1.64000	170.810
166	1.65000	170.803
167	1.66000	170.792
168	1.67000	170.777
169	1.68000	170.763
170	1.69000	170.747
171	1.70000	170.729
172	1.71000	170.709
173	1.72000	170.690
174	1.73000	170.666
175	1.74000	170.637
176	1.75000	170.605
177	1.76000	170.563
178	1.77000	170.512
179	1.78000	170.456
180	1.79000	170.397
181	1.80000	170.336
182	1.81000	170.276
183	1.82000	170.218
184	1.83000	170.158
185	1.84000	170.101
186	1.85000	170.049
187	1.86000	169.996
188	1.87000	169.944
189	1.88000	169.894
190	1.89000	169.844
191	1.90000	169.795
192	1.91000	169.745
193	1.92000	169.692
194	1.93000	169.637
195	1.94000	169.579
196	1.95000	169.532
197	1.96000	169.460
198	1.97000	169.354
199	1.98000	169.214
200	1.99000	169.032
201	2.00000	168.805
202	2.01000	168.535
203	2.02000	168.226
204	2.03000	167.891
205	2.04000	167.548
206	2.05000	167.212
207	2.06000	166.862
208	2.07000	166.511
209	2.08000	166.164
210	2.09000	165.822
211	2.10000	165.486
212	2.11000	165.166
213	2.12000	164.876
214	2.13000	164.632
215	2.14000	164.455
216	2.15000	164.351
217	2.16000	164.313
218	2.17000	164.344
219	2.18000	164.427
220	2.19000	164.533
221	2.20000	164.636
222	2.21000	164.713
223	2.22000	164.750
224	2.23000	164.741
225	2.24000	164.687
226	2.25000	164.591
227	2.26000	164.466
228	2.27000	164.344
229	2.28000	164.222
230	2.29000	164.103
231	2.30000	163.984
232	2.31000	163.860
233	2.32000	163.724
234	2.33000	163.574
235	2.34000	163.410
236	2.35000	163.234
237	2.36000	163.056
238	2.37000	162.874
239	2.38000	162.688
240	2.39000	162.498
241	2.40000	162.307
242	2.41000	162.106
243	2.42000	161.899
244	2.43000	161.696
245	2.44000	161.500
246	2.45000	161.306
247	2.46000	161.111
248	2.47000	160.912
249	2.48000	160.697
250	2.49000	160.463
251	2.50000	160.209
252	2.51000	159.919
253	2.52000	159.607
254	2.53000	159.268
255	2.54000	158.901
256	2.55000	158.500
257	2.56000	158.076
258	2.57000	157.637
259	2.58000	157.191
260	2.59000	156.750
261	2.60000	156.321
262	2.61000	155.910
263	2.62000	155.523
264	2.63000	155.151
265	2.64000	154.791
266	2.65000	154.431
267	2.66000	154.075
268	2.67000	153.714
269	2.68000	153.346
270	2.69000	152.964
271	2.70000	152.554
272	2.71000	152.140
273	2.72000	151.713
274	2.73000	151.286
275	2.74000	150.864
276	2.75000	150.462
277	2.76000	150.090
278	2.77000	149.749
279	2.78000	149.437
280	2.79000	149.136
281	2.80000	148.832
282	2.81000	148.541
283	2.82000	148.245
284	2.83000	147.946
285	2.84000	147.638
286	2.85000	147.329
287	2.86000	147.014
288	2.87000	146.693
289	2.88000	146.375
290	2.89000	146.044
291	2.90000	145.715
292	2.91000	145.388
293	2.92000	145.062
294	2.93000	144.733
295	2.94000	144.390
296	2.95000	144.033
297	2.96000	143.644
298	2.97000	143.216
299	2.98000	142.764
300	2.99000	142.271
301	3.00000	141.745
302	3.01000	141.171
303	3.02000	140.557
304	3.03000	139.895
305	3.04000	139.192
306	3.05000	138.457
307	3.06000	137.703
308	3.07000	136.949
309	3.08000	136.219
310	3.09000	135.513
311	3.10000	134.832
312	3.11000	134.169
313	3.12000	133.525
314	3.13000	132.886
315	3.14000	132.242
316	3.15000	131.576
317	3.16000	130.896
318	3.17000	130.196
319	3.18000	129.483
320	3.19000	128.755
321	3.20000	128.012
322	3.21000	127.258
323	3.22000	126.498
324	3.23000	125.736
325	3.24000	124.968
326	3.25000	124.193
327	3.26000	123.421
328	3.27000	122.653
329	3.28000	121.897
330	3.29000	121.149
331	3.30000	120.409
332	3.31000	119.674
333	3.32000	118.942
334	3.33000	118.211
335	3.34000	117.481
336	3.35000	116.750
337	3.36000	116.020
338	3.37000	115.293
339	3.38000	114.570
340	3.39000	113.851
341	3.40000	113.137
342	3.41000	112.422
343	3.42000	111.702
344	3.43000	110.978
345	3.44000	110.246
346	3.45000	109.509
347	3.46000	108.768
348	3.47000	108.030
349	3.48000	107.300
350	3.49000	106.581
351	3.50000	105.877
352	3.51000	105.185
353	3.52000	104.507
354	3.53000	103.842
355	3.54000	103.188
356	3.55000	102.544
357	3.56000	101.909
358	3.57000	101.281
359	3.58000	100.660
360	3.59000	100.044
361	3.60000	99.428
362	3.61000	98.807
363	3.62000	98.180
364	3.63000	97.541
365	3.64000	96.893
366	3.65000	96.238
367	3.66000	95.575
368	3.67000	94.911
369	3.68000	94.249
370	3.69000	93.596
371	3.70000	92.947
372	3.71000	92.308
373	3.72000	91.680
374	3.73000	91.065
375	3.74000	90.471
376	3.75000	89.898
377	3.76000	89.349
378	3.77000	88.825
379	3.78000	88.324
380	3.79000	87.839
381	3.80000	87.364
382	3.81000	86.901
383	3.82000	86.450
384	3.83000	86.011
385	3.84000	85.592
386	3.85000	85.195
387	3.86000	84.822
388	3.87000	84.475
389	3.88000	84.150
390	3.89000	83.842
391	3.90000	83.550
392	3.91000	83.274
393	3.92000	83.012
394	3.93000	82.766
395	3.94000	82.535
396	3.95000	82.319
397	3.96000	82.112
398	3.97000	81.928
399	3.98000	81.768
400	3.99000	81.633
401	4.00000	81.528
402	4.01000	81.455
403	4.02000	81.418
404	4.03000	81.416
405	4.04000	81.448
406	4.05000	81.512
407	4.06000	81.606
408	4.07000	81.735
409	4.08000	81.894
410	4.09000	82.073
411	4.10000	82.263
412	4.11000	82.452
413	4.12000	82.640
414	4.13000	82.821
415	4.14000	82.980
416	4.15000	83.115
417	4.16000	83.224
418	4.17000	83.313
419	4.18000	83.386
420	4.19000	83.445
421	4.20000	83.496
422	4.21000	83.548
423	4.22000	83.612
424	4.23000	83.688
425	4.24000	83.767
426	4.25000	83.852
427	4.26000	83.939
428	4.27000	84.025
429	4.28000	84.107
430	4.29000	84.186
431	4.30000	84.265
432	4.31000	84.354
433	4.32000	84.461
434	4.33000	84.590
435	4.34000	84.744
436	4.35000	84.921
437	4.36000	85.118
438	4.37000	85.329
439	4.38000	85.548
440	4.39000	85.769
441	4.40000	85.985
442	4.41000	86.195
443	4.42000	86.398
444	4.43000	86.591
445	4.44000	86.763
446	4.45000	86.931
447	4.46000	87.084
448	4.47000	87.221
449	4.48000	87.343
450	4.49000	87.448
451	4.50000	87.538
452	4.51000	87.619
453	4.52000	87.694
454	4.53000	87.765
455	4.54000	87.832
456	4.55000	87.910
457	4.56000	87.984
458	4.57000	88.056
459	4.58000	88.125
460	4.59000	88.192
461	4.60000	88.258
462	4.61000	88.329
463	4.62000	88.405
464	4.63000	88.488
465	4.64000	88.578
466	4.65000	88.678
467	4.66000	88.785
468	4.67000	88.895
469	4.68000	89.005
470	4.69000	89.112
471	4.70000	89.213
472	4.71000	89.306
473	4.72000	89.391
474	4.73000	89.468
475	4.74000	89.538
476	4.75000	89.604
477	4.76000	89.667
478	4.77000	89.729
479	4.78000	89.790
480	4.79000	89.848
481	4.80000	89.900
482	4.81000	89.946
483	4.82000	89.984
484	4.83000	90.016
485	4.84000	90.040
486	4.85000	90.059
487	4.86000	90.077
488	4.87000	90.094
489	4.88000	90.111
490	4.89000	90.126
491	4.90000	90.137
492	4.91000	90.142
493	4.92000	90.143
494	4.93000	90.136
495	4.94000	90.122
496	4.95000	90.103
497	4.96000	90.082
498	4.97000	90.054
499	4.98000	90.020
500	4.99000	89.978
501	5.00000	89.927
502	5.01000	89.866
503	5.02000	89.795
504	5.03000	89.710
505	5.04000	89.612
506	5.05000	89.498
507	5.06000	89.368
508	5.07000	89.212
509	5.08000	89.036
510	5.09000	88.832
511	5.10000	88.601
512	5.11000	88.341
513	5.12000	88.049
514	5.13000	87.722
515	5.14000	87.363
516	5.15000	86.967
517	5.16000	86.535
518	5.17000	86.071
519	5.18000	85.581
520	5.19000	85.065
521	5.20000	84.541
522	5.21000	84.020
523	5.22000	83.518
524	5.23000	83.046
525	5.24000	82.620
526	5.25000	82.245
527	5.26000	81.928
528	5.27000	81.674
529	5.28000	81.485
530	5.29000	81.365
531	5.30000	81.324
532	5.31000	81.366
533	5.32000	81.489
534	5.33000	81.684
535	5.34000	81.944
536	5.35000	82.250
537	5.36000	82.594
538	5.37000	82.954
539	5.38000	83.325
540	5.39000	83.697
541	5.40000	84.073
542	5.41000	84.456
543	5.42000	84.849
544	5.43000	85.260
545	5.44000	85.691
546	5.45000	86.143
547	5.46000	86.617
548	5.47000	87.106
549	5.48000	87.609
550	5.49000	88.122
551	5.50000	88.643
552	5.51000	89.170
553	5.52000	89.709
554	5.53000	90.260
555	5.54000	90.822
556	5.55000	91.389
557	5.56000	91.962
558	5.57000	92.542
559	5.58000	93.129
560	5.59000	93.726
561	5.60000	94.333
562	5.61000	94.948
563	5.62000	95.572
564	5.63000	96.206
565	5.64000	96.852
566	5.65000	97.513
567	5.66000	98.189
568	5.67000	98.882
569	5.68000	99.596
570	5.69000	100.337
571	5.70000	101.103
572	5.71000	101.892
573	5.72000	102.698
574	5.73000	103.520
575	5.74000	104.354
576	5.75000	105.199
577	5.76000	106.046
578	5.77000	106.898
579	5.78000	107.757
580	5.79000	108.626
581	5.80000	109.509
582	5.81000	110.403
583	5.82000	111.311
584	5.83000	112.230
585	5.84000	113.161
586	5.85000	114.098
587	5.86000	115.035
588	5.87000	115.975
589	5.88000	116.913
590	5.89000	117.854
591	5.90000	118.803
592	5.91000	119.755
593	5.92000	120.717
594	5.93000	121.686
595	5.94000	122.662
596	5.95000	123.645
597	5.96000	124.625
598	5.97000	125.603
599	5.98000	126.573
600	5.99000	127.552
601	6.00000	128.529
602	6.01000	129.503
603	6.02000	130.470
604	6.03000	131.424
605	6.04000	132.365
606	6.05000	133.296
607	6.06000	134.210
608	6.07000	135.111
609	6.08000	136.003
610	6.09000	136.895
611	6.10000	137.775
612	6.11000	138.643
613	6.12000	139.491
614	6.13000	140.309
615	6.14000	141.101
616	6.15000	141.868
617	6.16000	142.614
618	6.17000	143.354
619	6.18000	144.093
620	6.19000	144.824
621	6.20000	145.547
622	6.21000	146.252
623	6.22000	146.933
624	6.23000	147.584
625	6.24000	148.208
626	6.25000	148.811
627	6.26000	149.410
628	6.27000	150.027
629	6.28000	150.667
630	6.29000	151.325
631	6.30000	152.011
632	6.31000	152.711
633	6.32000	153.425
634	6.33000	154.151
635	6.34000	154.879
636	6.35000	155.604
637	6.36000	156.326
638	6.37000	157.052
639	6.38000	157.786
640	6.39000	158.533
641	6.40000	159.296
642	6.41000	160.072
643	6.42000	160.862
644	6.43000	161.663
645	6.44000	162.458
646	6.45000	163.230
647	6.46000	163.966
648	6.47000	164.663
649	6.48000	165.321
650	6.49000	165.943
651	6.50000	166.533
652	6.51000	167.095
653	6.52000	167.630
654	6.53000	168.138
655	6.54000	168.618
656	6.55000	169.067
657	6.56000	169.477
658	6.57000	169.850
659	6.58000	170.188
660	6.59000	170.499
661	6.60000	170.787
662	6.61000	171.056
663	6.62000	171.297
664	6.63000	171.507
665	6.64000	171.684
666	6.65000	171.818
667	6.66000	171.904
668	6.67000	171.941
669	6.68000	171.936
670	6.69000	171.898
671	6.70000	171.839
672	6.71000	171.775
673	6.72000	171.714
674	6.73000	171.664
675	6.74000	171.631
676	6.75000	171.610
677	6.76000	171.595
678	6.77000	171.580
679	6.78000	171.560
680	6.79000	171.527
681	6.80000	171.475
682	6.81000	171.410
683	6.82000	171.332
684	6.83000	171.243
685	6.84000	171.150
686	6.85000	171.054
687	6.86000	170.964
688	6.87000	170.883
689	6.88000	170.819
690	6.89000	170.766
691	6.90000	170.724
692	6.91000	170.689
693	6.92000	170.659
694	6.93000	170.622
695	6.94000	170.581
696	6.95000	170.534
697	6.96000	170.481
698	6.97000	170.424
699	6.98000	170.363
