NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:36:56
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	HL_Angular_Acceleration

Frame	Time	HL_Angular_Acceleration	
1	0.00000	0.000
2	0.01000	26.927
3	0.02000	34.027
4	0.03000	38.426
5	0.04000	40.124
6	0.05000	39.121
7	0.06000	35.418
8	0.07000	15.079
9	0.08000	9.518
10	0.09000	8.818
11	0.10000	-4.240
12	0.11000	4.459
13	0.12000	4.651
14	0.13000	-7.980
15	0.14000	-14.162
16	0.15000	-37.915
17	0.16000	9.508
18	0.17000	-28.366
19	0.18000	-24.037
20	0.19000	-50.049
21	0.20000	-20.242
22	0.21000	7.491
23	0.22000	-2.370
24	0.23000	8.406
25	0.24000	15.733
26	0.25000	16.454
27	0.26000	14.216
28	0.27000	-10.531
29	0.28000	-15.162
30	0.29000	-14.510
31	0.30000	-1.633
32	0.31000	-10.715
33	0.32000	-13.655
34	0.33000	10.987
35	0.34000	-3.607
36	0.35000	2.445
37	0.36000	-18.438
38	0.37000	15.584
39	0.38000	-2.158
40	0.39000	23.712
41	0.40000	29.262
42	0.41000	17.090
43	0.42000	10.514
44	0.43000	-5.112
45	0.44000	-41.085
46	0.45000	-0.242
47	0.46000	-26.470
48	0.47000	-8.151
49	0.48000	-20.109
50	0.49000	2.445
51	0.50000	13.415
52	0.51000	21.646
53	0.52000	1.383
54	0.53000	7.136
55	0.54000	-12.028
56	0.55000	-2.381
57	0.56000	-37.663
58	0.57000	-19.832
59	0.58000	-45.257
60	0.59000	-35.264
61	0.60000	-39.998
62	0.61000	-32.378
63	0.62000	-10.280
64	0.63000	2.808
65	0.64000	-27.733
66	0.65000	-9.208
67	0.66000	2.716
68	0.67000	24.116
69	0.68000	6.084
70	0.69000	35.587
71	0.70000	34.503
72	0.71000	68.048
73	0.72000	61.076
74	0.73000	49.297
75	0.74000	34.322
76	0.75000	13.884
77	0.76000	-1.852
78	0.77000	-16.028
79	0.78000	-28.713
80	0.79000	4.287
81	0.80000	-19.635
82	0.81000	6.959
83	0.82000	0.101
84	0.83000	0.411
85	0.84000	6.305
86	0.85000	-16.172
