NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:36:34
DATA_INCLUDED	Angular Velocity
DATA_TYPES	HL_Angular_Velocity

Frame	Time	HL_Angular_Velocity	
1	0.00000	0.000
2	0.01000	-0.516
3	0.02000	-0.009
4	0.03000	0.446
5	0.04000	0.848
6	0.05000	1.199
7	0.06000	1.497
8	0.07000	1.749
9	0.08000	1.872
10	0.09000	1.964
11	0.10000	1.987
12	0.11000	1.988
13	0.12000	2.033
14	0.13000	2.017
15	0.14000	1.906
16	0.15000	1.646
17	0.16000	1.503
18	0.17000	1.409
19	0.18000	1.147
20	0.19000	0.777
21	0.20000	0.425
22	0.21000	0.362
23	0.22000	0.387
24	0.23000	0.417
25	0.24000	0.538
26	0.25000	0.699
27	0.26000	0.852
28	0.27000	0.871
29	0.28000	0.742
30	0.29000	0.594
31	0.30000	0.513
32	0.31000	0.451
33	0.32000	0.330
34	0.33000	0.316
35	0.34000	0.353
36	0.35000	0.347
37	0.36000	0.267
38	0.37000	0.253
39	0.38000	0.320
40	0.39000	0.428
41	0.40000	0.693
42	0.41000	0.925
43	0.42000	1.063
44	0.43000	1.090
45	0.44000	0.859
46	0.45000	0.652
47	0.46000	0.519
48	0.47000	0.345
49	0.48000	0.204
50	0.49000	0.116
51	0.50000	0.195
52	0.51000	0.370
53	0.52000	0.486
54	0.53000	0.528
55	0.54000	0.504
56	0.55000	0.432
57	0.56000	0.231
58	0.57000	-0.056
59	0.58000	-0.382
60	0.59000	-0.784
61	0.60000	-1.160
62	0.61000	-1.522
63	0.62000	-1.736
64	0.63000	-1.773
65	0.64000	-1.898
66	0.65000	-2.082
67	0.66000	-2.115
68	0.67000	-1.981
69	0.68000	-1.830
70	0.69000	-1.621
71	0.70000	-1.271
72	0.71000	-0.758
73	0.72000	-0.112
74	0.73000	0.439
75	0.74000	0.858
76	0.75000	1.099
77	0.76000	1.159
78	0.77000	1.069
79	0.78000	0.846
80	0.79000	0.724
81	0.80000	0.647
82	0.81000	0.583
83	0.82000	0.619
84	0.83000	0.621
85	0.84000	0.655
86	0.85000	0.605
87	0.86000	0.516
88	0.87000	0.529
89	0.88000	0.433
90	0.89000	0.407
91	0.90000	0.373
92	0.91000	0.292
93	0.92000	0.310
94	0.93000	0.230
95	0.94000	0.125
96	0.95000	0.050
97	0.96000	0.071
98	0.97000	0.180
99	0.98000	0.151
100	0.99000	0.198
101	1.00000	0.398
102	1.01000	0.435
103	1.02000	0.341
104	1.03000	0.302
105	1.04000	0.216
106	1.05000	0.030
107	1.06000	-0.091
108	1.07000	-0.227
109	1.08000	-0.394
110	1.09000	-0.431
111	1.10000	-0.320
112	1.11000	-0.233
113	1.12000	0.002
114	1.13000	0.438
115	1.14000	0.727
116	1.15000	0.870
117	1.16000	0.947
118	1.17000	0.823
119	1.18000	0.633
120	1.19000	0.504
121	1.20000	0.402
122	1.21000	0.344
123	1.22000	0.382
124	1.23000	0.551
125	1.24000	0.602
126	1.25000	0.558
127	1.26000	0.523
128	1.27000	0.479
129	1.28000	0.502
130	1.29000	0.552
131	1.30000	0.562
132	1.31000	0.575
133	1.32000	0.692
134	1.33000	0.836
135	1.34000	0.785
136	1.35000	0.613
137	1.36000	0.610
138	1.37000	0.709
139	1.38000	0.739
140	1.39000	0.758
141	1.40000	0.766
142	1.41000	0.715
143	1.42000	0.574
144	1.43000	0.340
145	1.44000	0.114
146	1.45000	-0.163
147	1.46000	-0.363
148	1.47000	-0.551
149	1.48000	-0.754
150	1.49000	-0.660
151	1.50000	-0.453
152	1.51000	-0.373
153	1.52000	-0.291
154	1.53000	-0.165
155	1.54000	-0.067
156	1.55000	-0.124
157	1.56000	-0.424
158	1.57000	-0.732
159	1.58000	-0.886
160	1.59000	-0.900
161	1.60000	-0.914
162	1.61000	-0.924
163	1.62000	-0.807
164	1.63000	-0.776
165	1.64000	-0.801
166	1.65000	-0.931
167	1.66000	-1.255
168	1.67000	-1.450
169	1.68000	-1.536
170	1.69000	-1.711
171	1.70000	-1.876
172	1.71000	-1.933
173	1.72000	-2.160
174	1.73000	-2.633
175	1.74000	-3.052
176	1.75000	-3.704
177	1.76000	-4.627
178	1.77000	-5.380
179	1.78000	-5.792
180	1.79000	-5.967
181	1.80000	-6.020
182	1.81000	-5.936
183	1.82000	-5.921
184	1.83000	-5.838
185	1.84000	-5.463
186	1.85000	-5.222
187	1.86000	-5.236
188	1.87000	-5.122
189	1.88000	-4.974
190	1.89000	-4.948
191	1.90000	-4.979
192	1.91000	-5.133
193	1.92000	-5.387
194	1.93000	-5.650
195	1.94000	-5.233
196	1.95000	-5.949
197	1.96000	-8.894
198	1.97000	-12.310
199	1.98000	-16.142
200	1.99000	-20.434
201	2.00000	-24.807
202	2.01000	-28.973
203	2.02000	-32.239
204	2.03000	-33.921
205	2.04000	-33.951
206	2.05000	-34.279
207	2.06000	-35.058
208	2.07000	-34.921
209	2.08000	-34.426
210	2.09000	-33.863
211	2.10000	-32.778
212	2.11000	-30.536
213	2.12000	-26.709
214	2.13000	-21.014
215	2.14000	-14.051
216	2.15000	-7.127
217	2.16000	-0.352
218	2.17000	5.695
219	2.18000	9.462
220	2.19000	10.454
221	2.20000	8.991
222	2.21000	5.733
223	2.22000	1.412
224	2.23000	-3.152
225	2.24000	-7.531
226	2.25000	-11.049
227	2.26000	-12.356
228	2.27000	-12.223
229	2.28000	-12.055
230	2.29000	-11.880
231	2.30000	-12.119
232	2.31000	-13.035
233	2.32000	-14.293
234	2.33000	-15.687
235	2.34000	-17.007
236	2.35000	-17.702
237	2.36000	-17.997
238	2.37000	-18.403
239	2.38000	-18.793
240	2.39000	-19.051
241	2.40000	-19.632
242	2.41000	-20.403
243	2.42000	-20.497
244	2.43000	-19.958
245	2.44000	-19.495
246	2.45000	-19.444
247	2.46000	-19.722
248	2.47000	-20.699
249	2.48000	-22.413
250	2.49000	-24.367
251	2.50000	-27.206
252	2.51000	-30.122
253	2.52000	-32.573
254	2.53000	-35.303
255	2.54000	-38.360
256	2.55000	-41.241
257	2.56000	-43.149
258	2.57000	-44.249
259	2.58000	-44.388
260	2.59000	-43.524
261	2.60000	-41.965
262	2.61000	-39.871
263	2.62000	-37.954
264	2.63000	-36.620
265	2.64000	-36.022
266	2.65000	-35.780
267	2.66000	-35.832
268	2.67000	-36.469
269	2.68000	-37.527
270	2.69000	-39.599
271	2.70000	-41.182
272	2.71000	-42.044
273	2.72000	-42.719
274	2.73000	-42.419
275	2.74000	-41.198
276	2.75000	-38.741
277	2.76000	-35.653
278	2.77000	-32.634
279	2.78000	-30.643
280	2.79000	-30.233
281	2.80000	-29.720
282	2.81000	-29.341
283	2.82000	-29.769
284	2.83000	-30.392
285	2.84000	-30.872
286	2.85000	-31.184
287	2.86000	-31.766
288	2.87000	-31.960
289	2.88000	-32.453
290	2.89000	-33.006
291	2.90000	-32.833
292	2.91000	-32.628
293	2.92000	-32.714
294	2.93000	-33.584
295	2.94000	-35.018
296	2.95000	-37.297
297	2.96000	-40.850
298	2.97000	-44.021
299	2.98000	-47.223
300	2.99000	-50.967
301	3.00000	-55.005
302	3.01000	-59.376
303	3.02000	-63.825
304	3.03000	-68.251
305	3.04000	-71.917
306	3.05000	-74.472
307	3.06000	-75.384
308	3.07000	-74.201
309	3.08000	-71.791
310	3.09000	-69.340
311	3.10000	-67.214
312	3.11000	-65.329
313	3.12000	-64.122
314	3.13000	-64.185
315	3.14000	-65.499
316	3.15000	-67.261
317	3.16000	-69.017
318	3.17000	-70.645
319	3.18000	-72.045
320	3.19000	-73.596
321	3.20000	-74.873
322	3.21000	-75.665
323	3.22000	-76.074
324	3.23000	-76.514
325	3.24000	-77.148
326	3.25000	-77.329
327	3.26000	-77.003
328	3.27000	-76.199
329	3.28000	-75.225
330	3.29000	-74.426
331	3.30000	-73.709
332	3.31000	-73.368
333	3.32000	-73.188
334	3.33000	-73.041
335	3.34000	-73.012
336	3.35000	-73.056
337	3.36000	-72.876
338	3.37000	-72.504
339	3.38000	-72.074
340	3.39000	-71.630
341	3.40000	-71.458
342	3.41000	-71.730
343	3.42000	-72.227
344	3.43000	-72.798
345	3.44000	-73.424
346	3.45000	-73.918
347	3.46000	-73.958
348	3.47000	-73.403
349	3.48000	-72.464
350	3.49000	-71.159
351	3.50000	-69.804
352	3.51000	-68.498
353	3.52000	-67.128
354	3.53000	-65.958
355	3.54000	-64.930
356	3.55000	-63.952
357	3.56000	-63.114
358	3.57000	-62.423
359	3.58000	-61.876
360	3.59000	-61.622
361	3.60000	-61.861
362	3.61000	-62.403
363	3.62000	-63.279
364	3.63000	-64.319
365	3.64000	-65.167
366	3.65000	-65.890
367	3.66000	-66.327
368	3.67000	-66.313
369	3.68000	-65.770
370	3.69000	-65.109
371	3.70000	-64.380
372	3.71000	-63.347
373	3.72000	-62.142
374	3.73000	-60.472
375	3.74000	-58.357
376	3.75000	-56.083
377	3.76000	-53.634
378	3.77000	-51.259
379	3.78000	-49.305
380	3.79000	-47.998
381	3.80000	-46.908
382	3.81000	-45.715
383	3.82000	-44.502
384	3.83000	-42.894
385	3.84000	-40.818
386	3.85000	-38.493
387	3.86000	-35.997
388	3.87000	-33.601
389	3.88000	-31.643
390	3.89000	-29.979
391	3.90000	-28.410
392	3.91000	-26.925
393	3.92000	-25.408
394	3.93000	-23.829
395	3.94000	-22.351
396	3.95000	-21.168
397	3.96000	-19.547
398	3.97000	-17.199
399	3.98000	-14.755
400	3.99000	-11.989
401	4.00000	-8.879
402	4.01000	-5.523
403	4.02000	-1.972
404	4.03000	1.531
405	4.04000	4.846
406	4.05000	7.914
407	4.06000	11.148
408	4.07000	14.383
409	4.08000	16.860
410	4.09000	18.439
411	4.10000	18.991
412	4.11000	18.865
413	4.12000	18.407
414	4.13000	17.003
415	4.14000	14.704
416	4.15000	12.210
417	4.16000	9.903
418	4.17000	8.058
419	4.18000	6.629
420	4.19000	5.536
421	4.20000	5.113
422	4.21000	5.772
423	4.22000	7.005
424	4.23000	7.744
425	4.24000	8.202
426	4.25000	8.635
427	4.26000	8.667
428	4.27000	8.383
