NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:37:18
DATA_INCLUDED	Angle
DATA_TYPES	KL_Angle

Frame	Time	KL_Angle	
1	0.00000	162.412
2	0.01000	162.375
3	0.02000	162.347
4	0.03000	162.330
5	0.04000	162.322
6	0.05000	162.325
7	0.06000	162.338
8	0.07000	162.364
9	0.08000	162.401
10	0.09000	162.444
11	0.10000	162.487
12	0.11000	162.526
13	0.12000	162.561
14	0.13000	162.593
15	0.14000	162.621
16	0.15000	162.646
17	0.16000	162.668
18	0.17000	162.689
19	0.18000	162.707
20	0.19000	162.720
21	0.20000	162.730
22	0.21000	162.736
23	0.22000	162.742
24	0.23000	162.747
25	0.24000	162.749
26	0.25000	162.748
27	0.26000	162.743
28	0.27000	162.733
29	0.28000	162.721
30	0.29000	162.708
31	0.30000	162.697
32	0.31000	162.689
33	0.32000	162.686
34	0.33000	162.688
35	0.34000	162.695
36	0.35000	162.704
37	0.36000	162.714
38	0.37000	162.724
39	0.38000	162.736
40	0.39000	162.743
41	0.40000	162.748
42	0.41000	162.749
43	0.42000	162.748
44	0.43000	162.748
45	0.44000	162.747
46	0.45000	162.746
47	0.46000	162.746
48	0.47000	162.749
49	0.48000	162.755
50	0.49000	162.764
51	0.50000	162.774
52	0.51000	162.788
53	0.52000	162.803
54	0.53000	162.819
55	0.54000	162.834
56	0.55000	162.849
57	0.56000	162.862
58	0.57000	162.871
59	0.58000	162.879
60	0.59000	162.884
61	0.60000	162.883
62	0.61000	162.876
63	0.62000	162.864
64	0.63000	162.846
65	0.64000	162.825
66	0.65000	162.800
67	0.66000	162.772
68	0.67000	162.745
69	0.68000	162.721
70	0.69000	162.699
71	0.70000	162.683
72	0.71000	162.677
73	0.72000	162.684
74	0.73000	162.706
75	0.74000	162.742
76	0.75000	162.791
77	0.76000	162.847
78	0.77000	162.906
79	0.78000	162.960
80	0.79000	163.002
81	0.80000	163.032
82	0.81000	163.050
83	0.82000	163.058
84	0.83000	163.061
85	0.84000	163.059
86	0.85000	163.057
87	0.86000	163.057
88	0.87000	163.059
89	0.88000	163.064
90	0.89000	163.070
91	0.90000	163.079
92	0.91000	163.088
93	0.92000	163.095
94	0.93000	163.097
95	0.94000	163.092
96	0.95000	163.083
97	0.96000	163.069
98	0.97000	163.055
99	0.98000	163.043
100	0.99000	163.034
101	1.00000	163.031
102	1.01000	163.030
103	1.02000	163.030
104	1.03000	163.027
105	1.04000	163.020
106	1.05000	163.008
107	1.06000	162.991
108	1.07000	162.969
109	1.08000	162.947
110	1.09000	162.924
111	1.10000	162.903
112	1.11000	162.886
113	1.12000	162.877
114	1.13000	162.878
115	1.14000	162.887
116	1.15000	162.904
117	1.16000	162.924
118	1.17000	162.945
119	1.18000	162.962
120	1.19000	162.973
121	1.20000	162.976
122	1.21000	162.970
123	1.22000	162.959
124	1.23000	162.943
125	1.24000	162.924
126	1.25000	162.904
127	1.26000	162.886
128	1.27000	162.870
129	1.28000	162.858
130	1.29000	162.852
131	1.30000	162.848
132	1.31000	162.846
133	1.32000	162.844
134	1.33000	162.839
135	1.34000	162.832
136	1.35000	162.822
137	1.36000	162.812
138	1.37000	162.802
139	1.38000	162.797
140	1.39000	162.797
141	1.40000	162.800
142	1.41000	162.806
143	1.42000	162.814
144	1.43000	162.820
145	1.44000	162.822
146	1.45000	162.818
147	1.46000	162.809
148	1.47000	162.794
149	1.48000	162.773
150	1.49000	162.752
151	1.50000	162.732
152	1.51000	162.715
153	1.52000	162.703
154	1.53000	162.698
155	1.54000	162.700
156	1.55000	162.708
157	1.56000	162.721
158	1.57000	162.733
159	1.58000	162.744
160	1.59000	162.751
161	1.60000	162.752
162	1.61000	162.746
163	1.62000	162.733
164	1.63000	162.716
165	1.64000	162.693
166	1.65000	162.667
167	1.66000	162.635
168	1.67000	162.599
169	1.68000	162.561
170	1.69000	162.522
171	1.70000	162.484
172	1.71000	162.447
173	1.72000	162.411
174	1.73000	162.372
175	1.74000	162.325
176	1.75000	162.269
177	1.76000	162.198
178	1.77000	162.118
179	1.78000	162.029
180	1.79000	161.939
181	1.80000	161.852
182	1.81000	161.776
183	1.82000	161.714
184	1.83000	161.669
185	1.84000	161.644
186	1.85000	161.642
187	1.86000	161.656
188	1.87000	161.684
189	1.88000	161.717
190	1.89000	161.749
191	1.90000	161.774
192	1.91000	161.789
193	1.92000	161.791
194	1.93000	161.780
195	1.94000	161.753
196	1.95000	161.709
197	1.96000	161.631
198	1.97000	161.502
199	1.98000	161.308
200	1.99000	161.032
201	2.00000	160.661
202	2.01000	160.196
203	2.02000	159.646
204	2.03000	159.034
205	2.04000	158.386
206	2.05000	157.730
207	2.06000	157.080
208	2.07000	156.450
209	2.08000	155.846
210	2.09000	155.268
211	2.10000	154.721
212	2.11000	154.218
213	2.12000	153.780
214	2.13000	153.425
215	2.14000	153.169
216	2.15000	153.019
217	2.16000	152.972
218	2.17000	153.015
219	2.18000	153.124
220	2.19000	153.270
221	2.20000	153.424
222	2.21000	153.562
223	2.22000	153.667
224	2.23000	153.726
225	2.24000	153.734
226	2.25000	153.695
227	2.26000	153.623
228	2.27000	153.536
229	2.28000	153.444
230	2.29000	153.348
231	2.30000	153.248
232	2.31000	153.135
233	2.32000	153.006
234	2.33000	152.861
235	2.34000	152.702
236	2.35000	152.535
237	2.36000	152.365
238	2.37000	152.198
239	2.38000	152.033
240	2.39000	151.866
241	2.40000	151.695
242	2.41000	151.513
243	2.42000	151.322
244	2.43000	151.131
245	2.44000	150.939
246	2.45000	150.740
247	2.46000	150.526
248	2.47000	150.285
249	2.48000	150.008
250	2.49000	149.688
251	2.50000	149.318
252	2.51000	148.892
253	2.52000	148.422
254	2.53000	147.910
255	2.54000	147.363
256	2.55000	146.797
257	2.56000	146.226
258	2.57000	145.664
259	2.58000	145.122
260	2.59000	144.602
261	2.60000	144.099
262	2.61000	143.608
263	2.62000	143.122
264	2.63000	142.631
265	2.64000	142.147
266	2.65000	141.674
267	2.66000	141.226
268	2.67000	140.810
269	2.68000	140.431
270	2.69000	140.078
271	2.70000	139.742
272	2.71000	139.409
273	2.72000	139.073
274	2.73000	138.733
275	2.74000	138.397
276	2.75000	138.070
277	2.76000	137.768
278	2.77000	137.497
279	2.78000	137.254
280	2.79000	137.026
281	2.80000	136.803
282	2.81000	136.578
283	2.82000	136.351
284	2.83000	136.118
285	2.84000	135.875
286	2.85000	135.618
287	2.86000	135.342
288	2.87000	135.040
289	2.88000	134.714
290	2.89000	134.363
291	2.90000	133.994
292	2.91000	133.619
293	2.92000	133.249
294	2.93000	132.881
295	2.94000	132.503
296	2.95000	132.101
297	2.96000	131.669
298	2.97000	131.202
299	2.98000	130.721
300	2.99000	130.234
301	3.00000	129.745
302	3.01000	129.251
303	3.02000	128.740
304	3.03000	128.199
305	3.04000	127.612
306	3.05000	126.964
307	3.06000	126.272
308	3.07000	125.545
309	3.08000	124.810
310	3.09000	124.076
311	3.10000	123.345
312	3.11000	122.611
313	3.12000	121.864
314	3.13000	121.088
315	3.14000	120.278
316	3.15000	119.421
317	3.16000	118.532
318	3.17000	117.616
319	3.18000	116.684
320	3.19000	115.751
