NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:37:47
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	KL_Angular_Acceleration

Frame	Time	KL_Angular_Acceleration	
1	0.00000	0.000
2	0.01000	-56.089
3	0.02000	19.232
4	0.03000	76.243
5	0.04000	114.945
6	0.05000	135.338
7	0.06000	137.421
8	0.07000	113.808
9	0.08000	52.271
10	0.09000	0.700
11	0.10000	-39.344
12	0.11000	-40.329
13	0.12000	-28.814
14	0.13000	-38.475
15	0.14000	-30.661
16	0.15000	-28.718
17	0.16000	-8.516
18	0.17000	-36.801
19	0.18000	-48.127
20	0.19000	-32.265
21	0.20000	-31.482
22	0.21000	-3.665
23	0.22000	-14.500
24	0.23000	-22.804
25	0.24000	-33.141
26	0.25000	-45.860
27	0.26000	-40.057
28	0.27000	-26.419
29	0.28000	-8.788
30	0.29000	22.609
31	0.30000	28.846
32	0.31000	46.699
33	0.32000	54.084
34	0.33000	47.712
35	0.34000	20.125
36	0.35000	12.681
37	0.36000	0.458
38	0.37000	9.271
39	0.38000	-34.540
40	0.39000	-34.973
41	0.40000	-30.681
42	0.41000	-17.749
43	0.42000	3.880
44	0.43000	-7.110
45	0.44000	-5.117
46	0.45000	21.013
47	0.46000	16.889
48	0.47000	37.789
49	0.48000	26.107
50	0.49000	21.185
51	0.50000	24.858
52	0.51000	18.056
53	0.52000	9.239
54	0.53000	-5.084
55	0.54000	-8.719
56	0.55000	-23.002
57	0.56000	-30.545
58	0.57000	-10.813
59	0.58000	-38.748
60	0.59000	-49.860
61	0.60000	-59.946
62	0.61000	-57.487
63	0.62000	-52.313
64	0.63000	-40.108
65	0.64000	-32.773
66	0.65000	-28.077
67	0.66000	2.188
68	0.67000	34.483
69	0.68000	22.985
70	0.69000	59.632
71	0.70000	93.527
72	0.71000	133.701
73	0.72000	148.048
74	0.73000	142.515
75	0.74000	128.625
76	0.75000	77.788
77	0.76000	23.729
78	0.77000	-50.791
79	0.78000	-124.518
80	0.79000	-119.319
81	0.80000	-115.612
82	0.81000	-93.656
83	0.82000	-60.552
84	0.83000	-44.311
85	0.84000	2.700
86	0.85000	8.137
87	0.86000	30.088
88	0.87000	25.467
89	0.88000	14.035
90	0.89000	28.162
91	0.90000	-3.239
92	0.91000	-18.902
93	0.92000	-43.786
94	0.93000	-70.456
95	0.94000	-46.207
96	0.95000	-49.856
97	0.96000	-1.193
98	0.97000	25.546
99	0.98000	34.055
100	0.99000	46.893
101	1.00000	33.012
102	1.01000	-3.314
103	1.02000	-22.134
104	1.03000	-36.644
105	1.04000	-51.898
106	1.05000	-55.901
107	1.06000	-42.256
108	1.07000	-12.712
109	1.08000	-1.069
110	1.09000	21.718
111	1.10000	42.933
112	1.11000	71.610
113	1.12000	100.394
114	1.13000	87.783
115	1.14000	72.048
116	1.15000	38.193
117	1.16000	2.178
118	1.17000	-34.243
119	1.18000	-63.332
120	1.19000	-85.109
121	1.20000	-79.611
122	1.21000	-54.707
123	1.22000	-48.445
124	1.23000	-31.444
125	1.24000	-12.385
126	1.25000	18.197
127	1.26000	23.176
128	1.27000	44.149
129	1.28000	55.940
130	1.29000	26.212
131	1.30000	8.534
132	1.31000	3.712
133	1.32000	-20.305
134	1.33000	-30.488
135	1.34000	-26.881
136	1.35000	-3.409
137	1.36000	9.135
138	1.37000	43.802
139	1.38000	47.182
140	1.39000	31.890
141	1.40000	32.484
142	1.41000	16.458
143	1.42000	-15.104
144	1.43000	-42.353
145	1.44000	-56.154
146	1.45000	-59.235
147	1.46000	-58.152
148	1.47000	-50.309
149	1.48000	-9.011
150	1.49000	11.468
151	1.50000	34.922
152	1.51000	41.189
153	1.52000	76.433
154	1.53000	68.626
155	1.54000	64.760
156	1.55000	42.051
157	1.56000	-3.939
158	1.57000	-14.928
159	1.58000	-35.351
160	1.59000	-63.137
161	1.60000	-74.330
162	1.61000	-65.639
163	1.62000	-38.891
164	1.63000	-55.854
165	1.64000	-37.584
166	1.65000	-59.825
167	1.66000	-37.652
168	1.67000	-18.084
169	1.68000	-3.640
170	1.69000	-5.276
171	1.70000	20.138
172	1.71000	11.442
173	1.72000	-37.160
174	1.73000	-78.945
175	1.74000	-90.621
176	1.75000	-141.402
177	1.76000	-101.015
178	1.77000	-82.316
179	1.78000	-9.472
180	1.79000	25.345
181	1.80000	111.149
182	1.81000	139.275
183	1.82000	164.936
184	1.83000	209.537
185	1.84000	224.669
186	1.85000	169.512
187	1.86000	127.039
188	1.87000	55.352
189	1.88000	-6.177
190	1.89000	-72.710
191	1.90000	-102.331
192	1.91000	-129.747
193	1.92000	-132.382
194	1.93000	-155.058
195	1.94000	-168.456
196	1.95000	-350.898
197	1.96000	-499.574
198	1.97000	-650.330
199	1.98000	-828.956
200	1.99000	-939.443
201	2.00000	-945.124
202	2.01000	-848.455
