NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:41:25
DATA_INCLUDED	Angle
DATA_TYPES	LR_Angle

Frame	Time	LR_Angle	
1	0.00000	97.894
2	0.01000	97.908
3	0.02000	97.921
4	0.03000	97.934
5	0.04000	97.946
6	0.05000	97.957
7	0.06000	97.970
8	0.07000	97.981
9	0.08000	97.989
10	0.09000	97.993
11	0.10000	97.997
12	0.11000	98.000
13	0.12000	98.005
14	0.13000	98.013
15	0.14000	98.027
16	0.15000	98.044
17	0.16000	98.064
18	0.17000	98.084
19	0.18000	98.103
20	0.19000	98.121
21	0.20000	98.138
22	0.21000	98.153
23	0.22000	98.168
24	0.23000	98.184
25	0.24000	98.203
26	0.25000	98.220
27	0.26000	98.236
28	0.27000	98.249
29	0.28000	98.261
30	0.29000	98.269
31	0.30000	98.273
32	0.31000	98.273
33	0.32000	98.272
34	0.33000	98.269
35	0.34000	98.267
36	0.35000	98.266
37	0.36000	98.269
38	0.37000	98.272
39	0.38000	98.279
40	0.39000	98.288
41	0.40000	98.298
42	0.41000	98.306
43	0.42000	98.313
44	0.43000	98.317
45	0.44000	98.321
46	0.45000	98.327
47	0.46000	98.333
48	0.47000	98.339
49	0.48000	98.348
50	0.49000	98.360
51	0.50000	98.372
52	0.51000	98.384
53	0.52000	98.397
54	0.53000	98.408
55	0.54000	98.418
56	0.55000	98.426
57	0.56000	98.432
58	0.57000	98.435
59	0.58000	98.437
60	0.59000	98.436
61	0.60000	98.431
62	0.61000	98.426
63	0.62000	98.419
64	0.63000	98.412
65	0.64000	98.403
66	0.65000	98.394
67	0.66000	98.385
68	0.67000	98.377
69	0.68000	98.371
70	0.69000	98.363
71	0.70000	98.357
72	0.71000	98.354
73	0.72000	98.351
74	0.73000	98.351
75	0.74000	98.351
76	0.75000	98.352
77	0.76000	98.354
78	0.77000	98.355
79	0.78000	98.356
80	0.79000	98.357
81	0.80000	98.361
82	0.81000	98.369
83	0.82000	98.379
84	0.83000	98.390
85	0.84000	98.402
86	0.85000	98.415
87	0.86000	98.427
88	0.87000	98.438
89	0.88000	98.445
90	0.89000	98.452
91	0.90000	98.461
92	0.91000	98.468
93	0.92000	98.474
94	0.93000	98.480
95	0.94000	98.489
96	0.95000	98.498
97	0.96000	98.509
98	0.97000	98.521
99	0.98000	98.532
100	0.99000	98.542
101	1.00000	98.552
102	1.01000	98.557
103	1.02000	98.560
104	1.03000	98.563
105	1.04000	98.566
106	1.05000	98.570
107	1.06000	98.576
108	1.07000	98.582
109	1.08000	98.590
110	1.09000	98.595
111	1.10000	98.599
112	1.11000	98.601
113	1.12000	98.602
114	1.13000	98.602
115	1.14000	98.602
116	1.15000	98.602
117	1.16000	98.603
118	1.17000	98.604
119	1.18000	98.607
120	1.19000	98.610
121	1.20000	98.616
122	1.21000	98.622
123	1.22000	98.626
124	1.23000	98.628
125	1.24000	98.628
126	1.25000	98.627
127	1.26000	98.625
128	1.27000	98.622
129	1.28000	98.621
130	1.29000	98.624
131	1.30000	98.630
132	1.31000	98.637
133	1.32000	98.645
134	1.33000	98.653
135	1.34000	98.661
136	1.35000	98.669
137	1.36000	98.675
138	1.37000	98.679
139	1.38000	98.683
140	1.39000	98.684
141	1.40000	98.684
142	1.41000	98.682
143	1.42000	98.681
144	1.43000	98.680
145	1.44000	98.680
146	1.45000	98.682
147	1.46000	98.685
148	1.47000	98.688
149	1.48000	98.691
150	1.49000	98.691
151	1.50000	98.691
152	1.51000	98.690
153	1.52000	98.688
154	1.53000	98.683
155	1.54000	98.678
156	1.55000	98.670
157	1.56000	98.660
158	1.57000	98.650
159	1.58000	98.640
160	1.59000	98.630
161	1.60000	98.623
162	1.61000	98.618
163	1.62000	98.616
164	1.63000	98.615
165	1.64000	98.614
166	1.65000	98.613
167	1.66000	98.611
168	1.67000	98.606
169	1.68000	98.600
170	1.69000	98.595
171	1.70000	98.592
172	1.71000	98.594
173	1.72000	98.602
174	1.73000	98.617
175	1.74000	98.635
176	1.75000	98.661
177	1.76000	98.686
178	1.77000	98.712
179	1.78000	98.738
180	1.79000	98.766
181	1.80000	98.792
182	1.81000	98.811
183	1.82000	98.820
184	1.83000	98.817
185	1.84000	98.794
186	1.85000	98.754
187	1.86000	98.695
188	1.87000	98.623
189	1.88000	98.542
190	1.89000	98.458
191	1.90000	98.380
192	1.91000	98.307
193	1.92000	98.246
194	1.93000	98.194
195	1.94000	98.148
196	1.95000	98.116
197	1.96000	98.089
198	1.97000	98.066
199	1.98000	98.042
200	1.99000	98.016
201	2.00000	97.987
202	2.01000	97.952
203	2.02000	97.912
204	2.03000	97.865
205	2.04000	97.818
