NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:42:02
DATA_INCLUDED	Angular Acceleration
DATA_TYPES	LR_Angular_Acceleration

Frame	Time	LR_Angular_Acceleration	
1	0.00000	0.000
2	0.01000	1.202
3	0.02000	-7.353
4	0.03000	-13.535
5	0.04000	-17.343
6	0.05000	-18.777
7	0.06000	-17.837
8	0.07000	-23.816
9	0.08000	-50.540
10	0.09000	1.543
11	0.10000	-6.733
12	0.11000	25.568
13	0.12000	22.708
14	0.13000	61.018
15	0.14000	32.750
16	0.15000	26.518
17	0.16000	-1.522
18	0.17000	-5.929
19	0.18000	-7.632
20	0.19000	-14.413
21	0.20000	-20.057
22	0.21000	-4.315
23	0.22000	20.370
24	0.23000	15.769
25	0.24000	-10.804
26	0.25000	-9.611
27	0.26000	-23.047
28	0.27000	-25.820
29	0.28000	-30.289
30	0.29000	-37.874
31	0.30000	-40.502
32	0.31000	-18.339
33	0.32000	-9.850
34	0.33000	-1.960
35	0.34000	19.777
36	0.35000	34.870
37	0.36000	4.871
38	0.37000	37.695
39	0.38000	15.012
40	0.39000	17.869
41	0.40000	-21.534
42	0.41000	-14.982
43	0.42000	-25.045
44	0.43000	4.348
45	0.44000	12.869
46	0.45000	0.359
47	0.46000	-6.608
48	0.47000	43.661
49	0.48000	18.438
50	0.49000	14.167
51	0.50000	-9.290
52	0.51000	5.824
53	0.52000	-15.412
54	0.53000	-7.645
55	0.54000	-20.829
56	0.55000	-23.275
57	0.56000	-30.337
58	0.57000	-9.176
59	0.58000	-29.448
60	0.59000	-37.359
61	0.60000	-4.637
62	0.61000	-12.430
63	0.62000	-10.285
64	0.63000	-12.160
65	0.64000	-4.274
66	0.65000	9.831
67	0.66000	2.315
68	0.67000	12.435
69	0.68000	-8.462
70	0.69000	11.785
71	0.70000	35.971
72	0.71000	3.789
73	0.72000	22.407
74	0.73000	2.204
75	0.74000	9.738
76	0.75000	2.173
77	0.76000	3.998
78	0.77000	-9.454
79	0.78000	3.642
80	0.79000	35.297
81	0.80000	30.176
82	0.81000	19.595
83	0.82000	17.686
84	0.83000	7.850
85	0.84000	6.469
86	0.85000	-3.838
87	0.86000	-16.303
88	0.87000	-34.487
89	0.88000	-3.087
90	0.89000	17.550
91	0.90000	-16.443
92	0.91000	-9.328
93	0.92000	-0.563
94	0.93000	21.629
95	0.94000	15.727
96	0.95000	10.121
97	0.96000	7.205
98	0.97000	-4.144
99	0.98000	-7.406
100	0.99000	-8.379
101	1.00000	-48.099
102	1.01000	-18.052
103	1.02000	4.124
104	1.03000	0.475
105	1.04000	5.388
106	1.05000	15.083
107	1.06000	9.610
108	1.07000	9.751
109	1.08000	-22.398
110	1.09000	-13.588
111	1.10000	-15.584
112	1.11000	-10.334
113	1.12000	-10.824
114	1.13000	-8.463
115	1.14000	7.923
116	1.15000	8.317
117	1.16000	1.881
118	1.17000	20.874
119	1.18000	-2.114
120	1.19000	28.628
121	1.20000	0.089
122	1.21000	-15.543
123	1.22000	-23.268
124	1.23000	-21.278
125	1.24000	-6.336
126	1.25000	-15.247
127	1.26000	1.495
128	1.27000	8.482
129	1.28000	38.711
130	1.29000	42.141
131	1.30000	-1.950
132	1.31000	13.161
133	1.32000	5.706
134	1.33000	-8.289
135	1.34000	6.499
136	1.35000	-26.416
137	1.36000	-9.584
138	1.37000	-15.103
139	1.38000	-12.920
140	1.39000	-22.879
141	1.40000	-11.781
142	1.41000	1.488
143	1.42000	7.657
144	1.43000	5.944
145	1.44000	22.470
146	1.45000	4.231
147	1.46000	6.637
148	1.47000	-6.861
149	1.48000	-19.230
150	1.49000	-8.399
151	1.50000	-11.344
152	1.51000	-6.842
153	1.52000	-24.033
154	1.53000	-15.308
155	1.54000	-18.320
156	1.55000	-16.386
157	1.56000	-7.677
158	1.57000	-0.778
159	1.58000	8.788
160	1.59000	22.707
161	1.60000	22.179
162	1.61000	19.803
163	1.62000	21.383
164	1.63000	-1.476
165	1.64000	2.973
166	1.65000	-20.051
167	1.66000	-15.863
168	1.67000	-17.028
169	1.68000	2.250
170	1.69000	25.506
171	1.70000	56.157
172	1.71000	55.053
173	1.72000	71.285
174	1.73000	30.745
175	1.74000	72.263
176	1.75000	0.150
177	1.76000	6.973
178	1.77000	0.869
179	1.78000	11.625
180	1.79000	-12.621
181	1.80000	-68.151
182	1.81000	-100.583
183	1.82000	-127.655
184	1.83000	-196.323
185	1.84000	-164.360
186	1.85000	-196.828
187	1.86000	-124.342
188	1.87000	-97.263
189	1.88000	-22.334
190	1.89000	58.178
191	1.90000	46.868
192	1.91000	127.379
193	1.92000	78.814
194	1.93000	67.342
195	1.94000	137.428
196	1.95000	49.018
197	1.96000	47.106
198	1.97000	-14.969
199	1.98000	-22.005
