NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:41:45
DATA_INCLUDED	Angular Velocity
DATA_TYPES	LR_Angular_Velocity

Frame	Time	LR_Angular_Velocity	
1	0.00000	0.000
2	0.01000	0.890
3	0.02000	1.082
4	0.03000	1.208
5	0.04000	1.267
6	0.05000	1.261
7	0.06000	1.188
8	0.07000	0.979
9	0.08000	0.608
10	0.09000	0.363
11	0.10000	0.337
12	0.11000	0.431
13	0.12000	0.672
14	0.13000	1.091
15	0.14000	1.560
16	0.15000	1.856
17	0.16000	1.981
18	0.17000	1.944
19	0.18000	1.876
20	0.19000	1.766
21	0.20000	1.593
22	0.21000	1.472
23	0.22000	1.552
24	0.23000	1.733
25	0.24000	1.757
26	0.25000	1.655
27	0.26000	1.492
28	0.27000	1.248
29	0.28000	0.967
30	0.29000	0.626
31	0.30000	0.234
32	0.31000	-0.060
33	0.32000	-0.201
34	0.33000	-0.260
35	0.34000	-0.171
36	0.35000	0.103
37	0.36000	0.301
38	0.37000	0.514
39	0.38000	0.778
40	0.39000	0.942
41	0.40000	0.924
42	0.41000	0.741
43	0.42000	0.541
44	0.43000	0.438
45	0.44000	0.524
46	0.45000	0.590
47	0.46000	0.558
48	0.47000	0.744
49	0.48000	1.054
50	0.49000	1.217
51	0.50000	1.242
52	0.51000	1.224
53	0.52000	1.176
54	0.53000	1.061
55	0.54000	0.919
56	0.55000	0.698
57	0.56000	0.430
58	0.57000	0.233
59	0.58000	0.039
60	0.59000	-0.295
61	0.60000	-0.505
62	0.61000	-0.590
63	0.62000	-0.703
64	0.63000	-0.816
65	0.64000	-0.898
66	0.65000	-0.870
67	0.66000	-0.809
68	0.67000	-0.736
69	0.68000	-0.716
70	0.69000	-0.699
71	0.70000	-0.460
72	0.71000	-0.262
73	0.72000	-0.131
74	0.73000	-0.007
75	0.74000	0.052
76	0.75000	0.112
77	0.76000	0.143
78	0.77000	0.115
79	0.78000	0.086
80	0.79000	0.281
81	0.80000	0.608
82	0.81000	0.857
83	0.82000	1.044
84	0.83000	1.171
85	0.84000	1.243
86	0.85000	1.256
87	0.86000	1.155
88	0.87000	0.901
89	0.88000	0.714
90	0.89000	0.786
91	0.90000	0.791
92	0.91000	0.663
93	0.92000	0.613
94	0.93000	0.718
95	0.94000	0.905
96	0.95000	1.034
97	0.96000	1.121
98	0.97000	1.136
99	0.98000	1.079
100	0.99000	1.000
101	1.00000	0.717
102	1.01000	0.387
103	1.02000	0.317
104	1.03000	0.340
105	1.04000	0.369
106	1.05000	0.472
107	1.06000	0.595
108	1.07000	0.692
109	1.08000	0.629
110	1.09000	0.449
111	1.10000	0.303
112	1.11000	0.173
113	1.12000	0.067
114	1.13000	-0.029
115	1.14000	-0.032
116	1.15000	0.049
117	1.16000	0.100
118	1.17000	0.214
119	1.18000	0.308
120	1.19000	0.441
121	1.20000	0.584
122	1.21000	0.507
123	1.22000	0.313
124	1.23000	0.090
125	1.24000	-0.048
126	1.25000	-0.156
127	1.26000	-0.225
128	1.27000	-0.175
129	1.28000	0.061
130	1.29000	0.466
131	1.30000	0.666
132	1.31000	0.723
133	1.32000	0.817
134	1.33000	0.804
135	1.34000	0.795
136	1.35000	0.695
137	1.36000	0.515
138	1.37000	0.392
139	1.38000	0.252
140	1.39000	0.073
141	1.40000	-0.100
142	1.41000	-0.152
143	1.42000	-0.106
144	1.43000	-0.038
145	1.44000	0.104
146	1.45000	0.237
147	1.46000	0.292
148	1.47000	0.291
149	1.48000	0.160
150	1.49000	0.022
151	1.50000	-0.077
152	1.51000	-0.168
153	1.52000	-0.322
154	1.53000	-0.519
155	1.54000	-0.687
156	1.55000	-0.860
157	1.56000	-0.981
158	1.57000	-1.023
159	1.58000	-0.983
160	1.59000	-0.825
161	1.60000	-0.601
162	1.61000	-0.391
163	1.62000	-0.185
164	1.63000	-0.086
165	1.64000	-0.078
166	1.65000	-0.164
167	1.66000	-0.343
168	1.67000	-0.508
169	1.68000	-0.581
170	1.69000	-0.443
171	1.70000	-0.034
172	1.71000	0.522
173	1.72000	1.153
174	1.73000	1.664
175	1.74000	2.179
176	1.75000	2.541
177	1.76000	2.576
178	1.77000	2.615
179	1.78000	2.678
180	1.79000	2.673
181	1.80000	2.269
182	1.81000	1.425
183	1.82000	0.284
184	1.83000	-1.336
185	1.84000	-3.139
186	1.85000	-4.945
187	1.86000	-6.551
188	1.87000	-7.659
189	1.88000	-8.257
190	1.89000	-8.078
191	1.90000	-7.552
192	1.91000	-6.681
193	1.92000	-5.650
194	1.93000	-4.919
195	1.94000	-3.896
196	1.95000	-2.963
197	1.96000	-2.483
198	1.97000	-2.322
199	1.98000	-2.507
200	1.99000	-2.756
201	2.00000	-3.215
202	2.01000	-3.749
203	2.02000	-4.341
204	2.03000	-4.707
205	2.04000	-4.486
206	2.05000	-4.242
207	2.06000	-3.889
208	2.07000	-3.442
209	2.08000	-3.313
210	2.09000	-3.402
211	2.10000	-3.430
212	2.11000	-3.438
213	2.12000	-3.614
214	2.13000	-4.138
215	2.14000	-5.028
216	2.15000	-5.677
217	2.16000	-5.712
218	2.17000	-5.387
219	2.18000	-4.749
220	2.19000	-3.677
221	2.20000	-2.462
222	2.21000	-1.326
223	2.22000	-0.199
224	2.23000	0.456
225	2.24000	0.549
226	2.25000	0.726
227	2.26000	1.023
228	2.27000	1.091
229	2.28000	0.750
230	2.29000	-0.109
231	2.30000	-1.388
232	2.31000	-2.546
233	2.32000	-3.058
234	2.33000	-3.016
235	2.34000	-2.773
236	2.35000	-2.066
237	2.36000	-1.067
238	2.37000	-0.566
239	2.38000	-1.162
240	2.39000	-2.806
241	2.40000	-5.333
242	2.41000	-8.591
243	2.42000	-12.225
244	2.43000	-16.477
245	2.44000	-21.213
246	2.45000	-25.015
247	2.46000	-27.746
248	2.47000	-29.445
249	2.48000	-29.094
250	2.49000	-25.836
251	2.50000	-19.422
252	2.51000	-10.695
253	2.52000	-0.562
254	2.53000	9.329
255	2.54000	17.850
256	2.55000	24.760
257	2.56000	29.277
258	2.57000	31.984
259	2.58000	34.079
260	2.59000	35.800
261	2.60000	37.570
262	2.61000	38.724
263	2.62000	37.195
264	2.63000	30.589
265	2.64000	18.354
266	2.65000	1.509
267	2.66000	-18.070
268	2.67000	-34.482
269	2.68000	-40.686
270	2.69000	-34.885
271	2.70000	-20.803
272	2.71000	-3.810
273	2.72000	12.089
274	2.73000	24.337
275	2.74000	30.973
276	2.75000	30.476
277	2.76000	23.554
278	2.77000	15.581
279	2.78000	11.587
280	2.79000	10.503
281	2.80000	7.338
282	2.81000	0.601
283	2.82000	-7.470
284	2.83000	-15.613
285	2.84000	-23.791
286	2.85000	-31.427
287	2.86000	-37.087
288	2.87000	-39.429
289	2.88000	-37.467
290	2.89000	-32.257
291	2.90000	-26.162
292	2.91000	-19.679
293	2.92000	-13.335
294	2.93000	-8.012
295	2.94000	-4.047
296	2.95000	-1.708
297	2.96000	-0.833
298	2.97000	-1.094
299	2.98000	-1.541
300	2.99000	-2.094
301	3.00000	-2.566
302	3.01000	-2.746
303	3.02000	-2.696
304	3.03000	-2.333
305	3.04000	-1.977
306	3.05000	-2.157
307	3.06000	-3.307
308	3.07000	-5.474
309	3.08000	-8.128
310	3.09000	-10.706
311	3.10000	-12.402
312	3.11000	-12.589
313	3.12000	-11.211
314	3.13000	-8.693
315	3.14000	-5.585
316	3.15000	-2.208
317	3.16000	0.737
318	3.17000	2.501
319	3.18000	2.925
320	3.19000	2.392
321	3.20000	1.494
322	3.21000	0.814
323	3.22000	0.201
324	3.23000	-0.452
325	3.24000	-0.897
326	3.25000	-0.806
327	3.26000	0.203
328	3.27000	2.333
329	3.28000	5.436
330	3.29000	8.394
331	3.30000	9.962
332	3.31000	9.603
333	3.32000	7.289
334	3.33000	3.714
335	3.34000	-0.378
336	3.35000	-4.185
337	3.36000	-6.675
338	3.37000	-7.186
339	3.38000	-5.800
340	3.39000	-3.458
341	3.40000	-1.016
342	3.41000	1.182
343	3.42000	2.715
344	3.43000	3.007
345	3.44000	1.800
346	3.45000	-0.257
347	3.46000	-2.458
