NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	30
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:35:44
DATA_INCLUDED	Position
DATA_TYPES	LR_pos_X	LR_pos_Y	LR_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	KR_pos_X	KR_pos_Y	KR_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	SL_pos_X	SL_pos_Y	SL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z

Frame	Time	LR_pos_X	LR_pos_Y	LR_pos_Z	HR_pos_X	HR_pos_Y	HR_pos_Z	SR_pos_X	SR_pos_Y	SR_pos_Z	KR_pos_X	KR_pos_Y	KR_pos_Z	LL_pos_X	LL_pos_Y	LL_pos_Z	HL_pos_X	HL_pos_Y	HL_pos_Z	TR_pos_X	TR_pos_Y	TR_pos_Z	TL_pos_X	TL_pos_Y	TL_pos_Z	SL_pos_X	SL_pos_Y	SL_pos_Z	KL_pos_X	KL_pos_Y	KL_pos_Z	
1	0.00000	200.304	-150.963	108.769	231.226	-203.552	1038.394	205.514	-174.920	1662.231	262.087	-140.380	590.357	178.402	199.753	106.252	203.530	215.693	1048.687	458.432	-168.957	38.910	436.390	218.396	39.268	184.886	173.605	1674.434	258.965	180.766	588.033
2	0.01000	200.325	-150.925	108.783	231.344	-203.397	1038.388	205.435	-174.757	1662.186	262.126	-140.296	590.395	178.382	199.769	106.217	203.673	215.914	1048.667	458.459	-168.969	38.849	436.387	218.405	39.296	184.785	173.757	1674.368	259.105	180.873	587.987
3	0.02000	200.340	-150.914	108.804	231.489	-203.233	1038.371	205.384	-174.594	1662.127	262.184	-140.240	590.427	178.372	199.764	106.213	203.799	216.104	1048.626	458.454	-168.962	38.808	436.394	218.413	39.282	184.712	173.872	1674.331	259.270	180.993	588.008
4	0.03000	200.359	-150.877	108.809	231.612	-203.054	1038.375	205.320	-174.418	1662.056	262.335	-140.039	590.265	178.370	199.788	106.329	203.903	216.267	1048.583	458.473	-168.964	38.752	436.423	218.394	39.205	184.624	174.045	1674.325	259.412	181.063	588.006
5	0.04000	200.395	-150.901	108.941	231.740	-202.892	1038.279	205.160	-174.316	1661.639	262.351	-139.866	590.301	178.371	199.690	106.384	203.876	216.136	1048.395	458.437	-168.932	38.779	436.356	218.318	39.105	184.415	174.124	1674.311	259.474	180.965	587.935
6	0.05000	200.401	-150.896	108.957	231.916	-202.714	1038.278	205.101	-174.177	1661.530	262.370	-139.712	590.342	178.446	199.674	106.379	203.956	216.233	1048.365	458.437	-168.931	38.745	436.373	218.304	39.016	184.291	174.274	1674.308	259.540	180.983	587.952
7	0.06000	200.415	-150.884	109.004	232.057	-202.513	1038.250	205.039	-174.046	1661.476	262.345	-139.614	590.383	178.497	199.640	106.435	204.079	216.357	1048.345	458.435	-168.941	38.730	436.380	218.289	38.923	184.164	174.452	1674.259	259.547	180.992	587.941
8	0.07000	200.410	-150.876	109.018	232.198	-202.309	1038.217	205.005	-173.918	1661.392	262.319	-139.518	590.415	178.542	199.605	106.399	204.226	216.479	1048.337	458.437	-168.945	38.725	436.396	218.291	38.877	184.056	174.594	1674.252	259.488	181.032	587.951
9	0.08000	200.394	-150.870	109.054	232.343	-202.074	1038.215	204.919	-173.806	1661.310	262.254	-139.411	590.439	178.556	199.581	106.440	204.361	216.573	1048.285	458.435	-168.940	38.723	436.397	218.289	38.851	183.949	174.685	1674.272	259.375	181.030	587.931
10	0.09000	200.377	-150.841	109.043	232.478	-201.870	1038.222	204.837	-173.671	1661.256	262.208	-139.272	590.434	178.545	199.555	106.421	204.524	216.738	1048.288	458.430	-168.928	38.742	436.391	218.286	38.852	183.797	174.852	1674.287	259.240	181.070	587.902
